elapsed_ms,cores,rss_mib
1053,0.007,78.48
2067,1.907,142.81
3073,2.523,184.90
4077,2.109,188.92
5091,1.476,189.30
6095,1.163,208.21
7116,0.098,208.20
8129,2.465,336.72
9151,2.941,376.82
10167,2.995,381.05
11172,2.973,381.24
12178,2.930,381.14
13185,2.928,381.50
14197,2.982,384.81
15204,2.961,384.93
16218,2.968,377.73
17232,3.004,381.39
18247,2.881,379.84
19254,2.900,381.29
20269,2.984,381.57
21283,2.973,379.86
22294,2.960,386.27
23308,0.623,385.76
24321,0.001,385.76
25336,1.825,387.20
26348,2.966,381.64
27355,2.934,381.44
28363,2.918,381.51
29441,2.476,381.54
30456,2.788,382.38
31461,2.861,381.60
32466,2.906,381.71
33475,2.932,383.39
34481,2.879,383.42
35495,2.860,383.54
36509,2.923,384.38
37519,2.887,384.73
38523,2.887,384.53
39536,2.864,384.48
40546,2.824,384.52
41560,2.855,383.55
42574,2.893,384.39
43578,2.891,384.35
44595,2.879,383.63
45608,2.895,383.91
46625,2.889,384.02
47637,2.867,388.02
48649,2.782,387.05
49657,2.834,387.39
50667,2.965,387.09
51678,2.889,386.97
52691,2.880,387.00
53695,2.863,387.07
54702,2.910,387.52
55711,1.471,386.26
56725,0.001,386.23
57736,0.001,386.21
58743,0.001,386.21
59754,0.001,386.21
60758,0.001,386.20
61772,0.001,386.20
62786,0.001,386.20
63790,0.001,386.20
64796,0.001,386.20
65801,0.001,386.20
66807,0.001,386.20
67812,0.001,386.20
68826,0.001,386.20
69835,0.001,386.20
70841,0.001,386.20
71846,0.001,386.20
72859,0.001,386.20
73872,0.001,386.20
74884,0.001,386.20
75890,0.001,386.20
76896,0.001,386.20
77902,0.001,386.20
78908,0.001,386.20
79913,0.001,386.20
80919,0.001,386.20
81924,0.001,386.20
82929,0.001,386.20
83934,0.001,386.20
84939,0.001,386.20
85950,0.002,385.79
86956,0.001,385.79
87960,0.001,385.79
88965,0.001,385.79
89972,0.001,385.79
90980,0.001,385.79
91989,0.001,385.79
92998,0.001,385.79
94006,0.001,385.79
95011,0.001,385.79
96018,0.001,385.79
97026,0.000,385.79
98034,0.000,385.79
99038,0.001,385.79
100044,0.001,385.79
101051,0.001,385.79
102060,0.001,385.79
103065,0.001,385.79
104071,0.001,385.79
105079,0.001,385.79
106085,0.001,385.79
107090,0.001,385.79
108095,0.001,385.79
109098,0.001,385.79
110104,0.001,385.79
111109,0.001,385.79
112113,0.001,385.79
113118,0.001,385.79
114123,0.001,385.79
115129,0.001,385.79
116136,0.001,385.79
117141,0.001,385.79
118147,0.001,385.79
119152,0.001,385.79
120162,0.001,385.79
121167,0.001,385.79
122171,0.001,385.79
123176,0.001,385.79
124184,0.001,385.79
125187,0.001,385.79
126192,0.001,385.79
127197,0.001,385.79
128204,0.001,385.79
129209,0.001,385.79
130213,0.001,385.79
131219,0.001,385.79
132222,0.001,385.79
133228,0.001,385.79
134232,0.001,385.79
135236,0.001,385.79
136247,0.001,385.79
137252,0.001,385.79
138256,0.001,385.79
139260,0.001,385.79
140266,0.001,385.79
141272,0.001,385.79
142277,0.001,385.79
143283,0.001,385.79
144288,0.001,385.79
145296,0.001,385.79
146300,0.001,385.79
147310,0.001,385.79
148317,0.001,385.79
149321,0.001,385.79
150329,0.001,385.79
151345,0.001,385.79
152350,0.001,385.79
153359,0.001,385.79
154369,0.001,385.79
155380,0.001,385.79
156396,0.002,385.79
157408,0.001,385.79
158417,0.001,385.79
159428,0.001,385.79
160437,0.001,385.79
161450,0.001,385.79
162459,0.001,385.79
163470,0.001,385.79
164479,0.001,385.79
165484,0.001,385.79
166493,0.001,385.79
167499,0.001,385.79
168503,0.001,385.79
169509,0.001,385.79
170517,0.001,385.79
171526,0.001,385.79
172535,0.001,385.79
173544,0.000,385.79
174553,0.001,385.79
