elapsed_ms,cores,rss_mib
1044,0.000,6.30
2052,0.954,59.05
3057,1.254,59.52
4065,1.261,59.38
5070,1.248,59.43
6077,1.254,59.70
7085,0.166,59.46
8096,2.064,211.86
9103,2.965,253.40
10113,2.936,264.69
11117,2.912,270.92
12123,2.969,271.72
13144,2.952,271.95
14151,2.963,271.75
15159,2.981,271.72
16167,2.917,272.00
17174,2.937,272.58
18181,2.909,272.96
19190,2.978,272.69
20199,2.952,272.83
21205,2.931,273.00
22212,2.930,273.21
23222,1.259,272.65
24226,0.001,272.64
25236,1.922,265.36
26241,2.930,272.57
27250,2.950,274.05
28258,2.937,274.76
29265,2.942,274.68
30272,2.910,275.72
31281,2.921,276.64
32286,2.935,277.58
33294,2.895,276.15
34301,2.945,275.89
35310,2.940,276.17
36317,2.930,276.01
37321,2.937,276.41
38328,2.969,276.44
39336,2.943,276.59
40345,2.945,276.72
41358,2.942,276.50
42365,2.858,276.45
43374,2.901,276.56
44379,2.960,277.00
45387,2.972,276.69
46395,2.894,277.01
47403,2.960,277.26
48412,2.930,277.40
49420,2.898,276.84
50429,2.932,277.18
51435,2.928,277.03
52442,2.968,276.99
53447,2.977,276.91
54456,2.919,277.49
55467,2.056,276.10
56475,0.001,276.10
57480,0.001,276.10
58483,0.001,276.10
59487,0.001,276.08
60495,0.001,276.07
61502,0.001,276.07
62508,0.001,276.07
63517,0.001,276.07
64525,0.001,276.07
65530,0.001,276.07
66537,0.001,276.07
67542,0.001,276.07
68550,0.001,276.07
69555,0.001,276.07
70559,0.001,276.07
71567,0.001,276.07
72573,0.001,276.07
73576,0.001,276.07
74582,0.001,276.07
75590,0.001,276.07
76596,0.001,276.07
77603,0.001,276.07
78610,0.001,276.07
79616,0.001,276.07
80621,0.001,276.07
81628,0.001,276.07
82632,0.001,276.07
83636,0.001,276.07
84642,0.001,276.07
85652,0.001,276.00
86655,0.001,276.00
87664,0.001,276.00
88673,0.001,276.00
89681,0.000,276.00
90688,0.001,276.00
91696,0.001,276.00
92705,0.001,276.00
93713,0.000,276.00
94721,0.000,276.00
95729,0.001,276.00
96735,0.001,276.00
97741,0.001,276.00
98748,0.001,276.00
99754,0.001,276.00
100761,0.001,276.00
101771,0.001,276.00
102778,0.001,276.00
103786,0.001,276.00
104791,0.001,276.00
105796,0.001,276.00
106801,0.001,276.00
107806,0.001,276.00
108813,0.001,276.00
109817,0.001,276.00
110822,0.001,276.00
111826,0.001,276.00
112829,0.001,276.00
113839,0.001,276.00
114845,0.001,276.00
115850,0.001,276.00
116853,0.001,276.00
117865,0.001,276.00
118872,0.001,276.00
119879,0.001,276.00
120887,0.001,276.00
121892,0.001,276.00
122898,0.001,276.00
123904,0.001,276.00
124909,0.001,276.00
125918,0.001,276.00
126927,0.001,276.00
127935,0.001,276.00
128940,0.001,276.00
129946,0.001,276.00
130956,0.001,276.00
131964,0.001,276.00
132969,0.001,276.00
133978,0.001,276.00
134982,0.001,276.00
135987,0.001,276.00
136995,0.001,276.00
138001,0.001,276.00
139008,0.001,276.00
140013,0.001,276.00
141022,0.001,276.00
142026,0.001,276.00
143034,0.001,276.00
144043,0.000,276.00
145048,0.001,276.00
146059,0.001,276.00
147068,0.001,276.00
148071,0.001,276.00
149080,0.001,276.00
150088,0.000,276.00
151097,0.000,276.00
152106,0.000,276.00
153115,0.000,276.00
154123,0.000,276.00
155131,0.000,276.00
156140,0.000,276.00
157148,0.000,276.00
