elapsed_ms,cores,rss_mib
1048,0.000,6.85
2053,0.813,110.88
3061,1.017,101.17
4066,1.016,99.73
5069,1.019,93.47
6078,1.020,86.01
7086,0.123,91.48
8091,1.618,99.17
9097,2.083,82.33
10102,2.046,101.71
11115,2.143,91.07
12125,2.087,94.77
13130,2.136,77.00
14139,2.122,92.90
15148,2.093,94.30
16154,2.106,110.68
17159,2.118,81.32
18164,2.121,75.41
19174,2.100,76.15
20179,2.062,80.60
21185,2.045,102.17
22193,1.969,51.16
23202,1.417,51.01
24210,0.000,51.00
25218,1.659,94.03
26225,1.807,83.98
27233,1.931,56.37
28241,1.860,59.20
29248,1.889,66.03
30269,1.806,67.20
31274,1.793,85.85
32283,1.772,85.14
33292,1.746,104.55
34296,1.937,70.35
35301,1.861,58.60
36305,1.705,56.68
37314,1.592,53.72
38322,1.537,53.76
39327,1.480,81.52
40333,1.524,47.19
41340,1.464,60.58
42351,1.596,67.64
43360,1.756,49.41
44368,1.520,51.25
45375,1.543,48.86
46380,1.517,95.99
47385,1.696,56.14
48393,1.551,47.83
49400,1.476,88.81
50408,1.599,61.81
51412,1.620,64.80
52427,1.579,63.31
53432,1.494,36.59
54441,1.757,66.67
55448,1.831,73.05
56452,0.000,73.03
57461,0.000,73.03
58466,0.000,73.03
59470,0.000,73.03
60478,0.000,73.02
61484,0.000,73.02
62488,0.000,73.02
63504,0.000,73.02
64509,0.000,73.02
65513,0.000,73.02
66521,0.000,73.02
67527,0.000,73.02
68532,0.000,73.02
69537,0.000,73.02
70541,0.000,73.02
71546,0.000,73.02
72552,0.000,73.02
73558,0.000,73.02
74567,0.000,73.02
75575,0.000,73.02
76583,0.000,73.02
77592,0.000,73.02
78600,0.000,73.02
79604,0.000,73.02
80608,0.000,73.02
81616,0.000,73.02
82622,0.000,73.02
83628,0.000,73.02
84632,0.000,73.02
85638,0.000,72.94
86643,0.000,72.94
87647,0.000,72.94
88651,0.000,72.94
89660,0.000,72.94
90667,0.000,72.94
91671,0.000,72.94
92676,0.000,72.94
93681,0.000,72.94
94690,0.000,72.94
95695,0.000,72.94
96701,0.000,72.94
97710,0.000,72.94
98718,0.000,72.94
99727,0.000,72.94
100735,0.000,72.94
101744,0.000,72.94
102753,0.000,72.94
