elapsed_ms,reqs_per_sec
1038,93
2038,109
3038,108
4038,103
5038,105
6038,1
6162,88
7162,186
8162,170
9162,155
10162,148
11162,185
12162,188
13162,178
14162,175
15162,187
16162,177
17162,183
18162,177
19162,171
20162,165
21162,162
23093,158
24093,128
25093,160
26093,162
27093,133
28093,141
29093,126
30093,118
31093,135
32093,129
33093,160
34093,143
35093,123
36093,100
37093,96
38093,59
39093,108
40093,77
41093,93
42093,144
43093,99
44093,82
45093,68
46093,136
47093,97
48093,59
49093,120
50093,114
51093,89
52093,86
53093,128
