elapsed_ms,cores,rss_mib
1044,0.000,2.05
2050,0.590,5.14
3056,0.723,5.45
4065,0.725,5.21
5069,0.711,7.28
6074,0.714,7.11
7082,0.072,7.04
8088,1.119,10.07
9105,2.126,10.04
10114,2.184,10.43
11120,2.404,9.76
12128,2.164,9.79
13137,2.062,10.06
14145,2.527,9.86
15156,2.519,10.55
16165,2.615,10.19
17175,2.654,10.00
18181,2.664,10.12
19190,2.651,10.12
20199,2.644,10.30
21210,2.613,10.03
22215,2.669,9.99
23220,0.611,9.43
24228,0.000,9.42
25234,0.000,9.42
26239,0.000,9.42
27245,0.000,9.42
28250,0.417,26.16
29254,2.640,14.28
30258,2.402,14.03
31264,2.299,14.30
32272,2.676,14.77
33279,2.580,14.62
34287,2.677,14.83
35297,2.655,15.47
36308,2.678,14.76
37316,2.698,14.38
38333,2.692,15.44
39339,2.652,14.56
40346,2.706,14.41
41355,2.678,14.49
42364,2.671,14.45
43374,2.714,14.66
44385,2.707,14.86
45391,2.714,14.77
46396,2.696,14.98
47405,2.677,15.14
48415,2.751,14.71
49420,2.709,14.79
50431,2.700,14.82
51436,2.687,14.58
52441,2.629,16.30
53452,2.668,16.20
54458,2.637,14.47
55468,2.700,14.53
56477,2.663,14.83
57487,2.648,14.61
58495,1.728,13.32
59501,0.000,13.32
60510,0.000,13.32
61516,0.000,13.30
62525,0.000,13.30
63535,0.000,13.29
64539,0.000,13.29
65546,0.000,13.29
66555,0.000,13.29
67563,0.000,13.29
68568,0.000,13.29
69577,0.000,13.29
70583,0.000,13.29
71588,0.000,13.29
72595,0.000,13.29
73600,0.000,13.29
74605,0.000,13.29
75613,0.000,13.29
76620,0.000,13.29
77629,0.000,13.29
78637,0.000,13.29
79650,0.000,13.29
80655,0.000,13.29
81664,0.000,13.29
82670,0.000,13.29
83675,0.000,13.29
84680,0.000,13.29
85684,0.000,13.29
86689,0.000,13.29
87694,0.000,13.29
88698,0.000,13.29
89705,0.000,13.29
90713,0.000,13.29
91722,0.000,13.29
92725,0.000,13.29
93733,0.000,13.29
94739,0.000,13.29
95744,0.000,13.29
96753,0.000,13.29
97760,0.000,13.29
98765,0.000,13.29
99771,0.000,13.29
100778,0.000,13.29
101782,0.000,13.29
102788,0.000,13.29
103794,0.000,13.29
104802,0.000,13.29
105806,0.000,13.29
106815,0.000,13.29
107824,0.000,13.29
108829,0.000,13.29
109836,0.000,13.29
110841,0.000,13.29
111848,0.000,13.29
112855,0.000,13.29
113864,0.000,13.29
114870,0.000,13.29
115877,0.000,13.29
116884,0.000,13.29
117890,0.000,13.29
118921,0.000,13.29
119928,0.000,13.29
120936,0.000,13.29
121947,0.000,13.29
122951,0.000,13.29
123960,0.000,13.29
124968,0.000,13.29
125973,0.000,13.29
126978,0.000,13.29
127989,0.000,13.29
128993,0.000,13.29
129999,0.000,13.29
131005,0.000,13.29
132010,0.000,13.29
133016,0.000,13.29
134020,0.000,13.29
135024,0.000,13.29
136030,0.000,13.29
137036,0.000,13.29
138047,0.000,13.29
139051,0.000,13.29
140059,0.000,13.29
141130,0.000,13.29
142137,0.000,13.29
143145,0.000,13.29
144153,0.000,13.29
145159,0.000,13.29
146164,0.000,13.29
147171,0.000,13.29
148176,0.000,13.29
149183,0.000,13.29
150192,0.000,13.29
151202,0.000,13.29
152206,0.000,13.29
153213,0.000,13.29
154220,0.000,13.29
155231,0.000,13.29
156243,0.000,13.29
157257,0.000,13.29
158274,0.000,13.29
159283,0.000,13.29
160292,0.000,13.29
161298,0.000,13.29
162307,0.000,13.29
163314,0.000,13.29
164323,0.000,13.29
165333,0.000,13.29
166343,0.000,13.29
167354,0.000,13.29
168364,0.000,13.29
169373,0.000,13.29
170384,0.000,13.29
171393,0.000,13.29
172402,0.000,13.29
173411,0.000,13.29
174420,0.000,13.29
175429,0.000,13.29
176439,0.000,13.29
177446,0.000,13.29
178454,0.000,13.29
179458,0.000,13.29
180467,0.000,13.29
181475,0.000,13.29
182483,0.000,13.29
183487,0.000,13.29
184493,0.000,13.29
185498,0.000,13.29
186505,0.000,13.29
187509,0.000,13.29
188517,0.000,13.29
189523,0.000,13.29
190529,0.000,13.29
191533,0.000,13.29
192538,0.000,13.29
193543,0.000,13.29
194548,0.000,13.29
195552,0.000,13.29
196557,0.000,13.29
197562,0.000,13.29
198567,0.000,13.29
199575,0.000,13.29
200581,0.000,13.29
201585,0.000,13.29
202590,0.000,13.29
203597,0.000,13.29
204604,0.000,13.29
205611,0.000,13.29
206616,0.000,13.29
207624,0.000,13.29
208630,0.000,13.29
209637,0.000,13.29
210644,0.000,13.29
211651,0.000,13.29
212657,0.000,13.29
213665,0.000,13.29
214671,0.000,13.29
215675,0.000,13.29
216682,0.000,13.29
217689,0.000,13.29
218693,0.000,13.29
219698,0.000,13.29
220702,0.000,13.29
221709,0.000,13.29
222713,0.000,13.29
223718,0.000,13.29
224723,0.000,13.29
225730,0.000,13.29
226734,0.000,13.29
227742,0.000,13.29
228748,0.000,13.29
229756,0.000,13.29
230766,0.000,13.29
231775,0.000,13.29
232779,0.000,13.29
233783,0.000,13.29
234788,0.000,13.29
235793,0.000,13.29
236803,0.000,13.29
237810,0.000,13.29
238817,0.000,13.29
239826,0.000,13.29
240831,0.000,13.29
241841,0.000,13.29
242847,0.000,13.29
243856,0.000,13.29
244864,0.000,13.29
245868,0.000,13.29
246874,0.000,13.29
247879,0.000,13.29
248884,0.000,13.29
249892,0.000,13.29
250897,0.000,13.29
251902,0.000,13.29
252909,0.000,13.29
253913,0.000,13.29
254920,0.000,13.29
255927,0.000,13.29
256931,0.000,13.29
257936,0.000,13.29
258947,0.000,13.29
259954,0.000,13.29
261010,0.000,13.29
262016,0.000,13.29
263025,0.000,13.29
264029,0.000,13.29
265035,0.000,13.29
266042,0.000,13.29
267046,0.000,13.29
268051,0.000,13.29
269057,0.000,13.29
270065,0.000,13.29
271070,0.000,13.29
272077,0.000,13.29
273086,0.000,13.29
274091,0.000,13.29
275097,0.000,13.29
276103,0.000,13.29
277108,0.000,13.29
278113,0.000,13.29
279117,0.000,13.29
280122,0.000,13.29
281127,0.000,13.29
282134,0.000,13.29
283143,0.000,13.29
284153,0.000,13.29
285159,0.000,13.29
286166,0.000,13.29
287173,0.000,13.29
288178,0.000,13.29
289183,0.000,13.29
290189,0.000,13.29
291196,0.000,13.29
292203,0.000,13.29
293211,0.000,13.29
294216,0.000,13.29
295224,0.000,13.29
296230,0.000,13.29
297236,0.000,13.29
298240,0.000,13.29
299246,0.000,13.29
300253,0.000,13.29
301259,0.000,13.29
302266,0.000,13.29
303271,0.000,13.29
304275,0.000,13.29
305279,0.000,13.29
306284,0.000,13.29
307291,0.000,13.29
308298,0.000,13.29
309304,0.000,13.29
310310,0.000,13.29
311318,0.000,13.29
312324,0.000,13.29
313333,0.000,13.29
314341,0.000,13.29
315347,0.000,13.29
316354,0.000,13.29
317361,0.000,13.29
318367,0.000,13.29
319372,0.000,13.29
320378,0.000,13.29
321382,0.000,13.29
322389,0.000,13.29
323394,0.000,13.29
324399,0.000,13.29
325404,0.000,13.29
326410,0.000,13.29
327415,0.000,13.29
328422,0.000,13.29
329428,0.000,13.29
330435,0.000,13.29
331439,0.000,13.29
332445,0.000,13.29
333450,0.000,13.29
334454,0.000,13.29
335461,0.000,13.29
336465,0.000,13.29
337471,0.000,13.29
338480,0.000,13.29
339486,0.000,13.29
340497,0.000,13.29
341507,0.000,13.29
342533,0.000,13.29
343546,0.000,13.29
344569,0.000,13.29
345607,0.000,13.29
346627,0.000,13.29
347661,0.000,13.29
348675,0.000,13.29
349685,0.000,13.29
350697,0.000,13.29
351736,0.000,13.29
352748,0.000,13.29
353761,0.000,13.29
354778,0.000,13.29
355793,0.000,13.29
356828,0.000,13.29
