elapsed_ms,reqs_per_sec
1028,268
2028,285
3028,284
4028,277
5028,279
6409,79
7409,685
8409,819
9409,910
10409,897
11409,723
12409,880
13409,901
14409,1012
15409,997
16409,1007
17409,1056
18409,1023
19409,994
20409,1058
21409,854
26895,153
27895,918
28895,836
29895,824
30895,1073
31895,896
32895,1104
33895,992
34895,994
35895,1116
36895,1054
37895,1038
38895,992
39895,1042
40895,993
41895,1095
42895,988
43895,993
44895,1097
45895,1073
46895,1019
47895,1060
48895,1016
49895,1038
50895,1025
51895,928
52895,1031
53895,960
54895,1130
55895,1019
56895,964
