elapsed_ms,cores,rss_mib
1052,0.001,179.57
2060,1.959,202.48
3064,2.019,210.54
4068,1.586,229.51
5073,1.063,230.16
6077,1.074,230.57
7092,0.120,230.51
8099,2.163,356.19
9108,2.967,368.55
10113,2.996,421.38
11123,2.912,423.39
12131,2.989,416.56
13144,2.923,395.09
14153,2.939,415.52
15162,2.961,406.14
16171,2.905,417.26
17184,2.920,429.04
18188,2.966,429.23
19195,2.900,429.95
20206,2.962,412.18
21211,2.909,426.47
22216,2.962,416.14
23223,1.004,424.71
24231,0.002,424.32
25235,1.964,437.35
26240,2.955,447.77
27254,2.859,445.99
28261,2.891,452.72
29268,2.879,448.40
30278,2.813,442.59
31287,2.873,444.21
32293,2.955,445.93
33299,2.894,446.14
34306,2.854,446.41
35314,2.812,447.23
36323,2.926,457.43
37332,2.919,457.59
38337,2.826,457.58
39344,2.888,456.21
40357,2.865,452.06
41364,2.816,452.54
42373,2.858,455.06
43381,2.869,454.39
44387,2.818,454.66
45393,2.889,459.00
46401,2.896,453.07
47412,2.884,452.67
48419,2.747,454.98
49425,2.830,452.79
50435,2.804,452.72
51444,2.813,453.06
52454,2.754,402.52
53466,2.887,452.77
54475,2.800,453.05
55478,1.362,452.66
56483,0.013,451.93
57494,0.001,451.88
58502,0.001,451.82
59506,0.002,451.82
60516,0.001,451.82
61523,0.001,451.82
62527,0.001,451.82
63535,0.001,451.82
64542,0.001,451.82
65549,0.001,451.82
66552,0.002,451.82
67558,0.001,451.82
68563,0.001,451.82
69569,0.001,451.82
70573,0.001,451.82
71577,0.001,451.82
72587,0.001,451.82
73594,0.001,451.82
74602,0.001,451.82
75606,0.001,451.82
76609,0.002,451.82
77616,0.001,451.82
78622,0.001,451.82
79629,0.001,451.82
80635,0.002,451.82
81640,0.001,451.82
82649,0.001,451.82
83659,0.001,451.82
84671,0.001,451.82
85678,0.001,451.82
86685,0.002,451.82
87691,0.001,451.82
88700,0.001,451.82
89708,0.001,451.82
90718,0.001,451.82
91726,0.001,451.82
92734,0.001,451.82
93743,0.001,451.82
94751,0.001,451.82
95755,0.001,451.82
96762,0.001,451.82
97768,0.001,451.82
98774,0.001,451.82
99778,0.001,451.82
100785,0.001,451.82
101793,0.001,451.82
102798,0.001,451.82
103805,0.001,451.82
104810,0.001,451.82
105815,0.001,451.82
106823,0.001,451.82
107826,0.001,451.82
108832,0.001,451.82
109837,0.001,451.82
110841,0.001,451.82
111850,0.001,451.82
112856,0.001,451.82
113865,0.001,451.82
114871,0.022,440.67
115875,0.022,426.59
116880,0.001,426.59
117889,0.001,426.59
118895,0.001,426.59
119900,0.001,426.55
120905,0.001,426.55
121913,0.001,426.55
122919,0.001,426.55
123926,0.001,426.55
124932,0.001,426.55
125937,0.001,426.55
126943,0.001,426.55
127951,0.001,426.55
128956,0.001,426.55
129963,0.001,426.55
130968,0.001,426.55
131974,0.001,426.55
132979,0.001,426.55
133985,0.001,426.55
134990,0.001,426.55
135995,0.001,426.55
136999,0.001,426.55
138003,0.001,426.55
139010,0.001,426.55
140014,0.001,426.55
141019,0.002,426.55
142023,0.001,426.55
143027,0.001,426.55
144036,0.001,426.55
145045,0.001,426.55
146055,0.002,426.55
147068,0.002,426.55
148078,0.001,426.55
149090,0.002,426.55
150104,0.001,426.55
151115,0.001,426.55
152120,0.001,426.55
153133,0.001,426.55
154148,0.001,426.55
155162,0.001,426.55
156175,0.001,426.55
157180,0.002,426.55
158194,0.001,426.55
159202,0.001,426.55
160216,0.001,426.55
161223,0.001,426.55
162237,0.001,426.55
163248,0.001,426.55
