elapsed_ms,cores,rss_mib
1045,0.004,82.46
2051,1.830,158.75
3060,2.498,208.75
4068,2.112,201.96
5076,1.388,206.46
6085,1.236,209.08
7094,0.149,209.14
8103,2.313,330.63
9114,2.901,370.81
10123,2.934,377.52
11133,2.981,385.20
12139,2.957,388.78
13145,2.928,388.99
14154,2.993,389.16
15164,2.986,389.68
16181,2.936,380.93
17194,2.968,389.55
18202,2.956,389.57
19208,2.984,389.95
20234,2.869,390.68
21244,2.928,381.10
22253,2.997,390.02
23260,0.679,389.61
24266,0.001,389.61
25274,1.720,383.96
26283,2.967,382.48
27288,2.962,384.67
28294,2.937,385.82
29302,2.956,388.32
30311,2.951,388.17
31321,2.917,386.18
32334,2.936,386.25
33338,2.953,391.52
34346,2.925,391.73
35354,2.923,391.60
36358,2.916,391.73
37377,2.907,391.69
38386,2.937,391.75
39397,2.938,391.52
40401,2.919,392.06
41406,2.960,391.96
42415,2.920,392.04
43424,2.900,392.82
44431,2.933,392.16
45441,2.903,392.16
46449,2.912,392.08
47458,2.976,392.13
48463,2.926,392.04
49474,2.873,392.14
50488,2.977,392.40
51497,2.892,392.29
52518,2.850,392.27
53531,2.992,392.39
54536,2.890,333.79
55547,1.696,376.31
56561,0.001,376.29
57570,0.001,376.28
58580,0.001,376.28
59591,0.001,376.27
60607,0.001,376.26
61614,0.001,376.26
62625,0.001,376.26
63638,0.001,376.26
64643,0.001,376.26
65648,0.001,376.26
66654,0.001,376.26
67664,0.001,376.26
68670,0.001,376.26
69682,0.001,376.26
70687,0.001,376.26
71692,0.001,376.26
72698,0.001,376.26
73703,0.001,376.26
74709,0.001,376.26
75714,0.001,376.26
76721,0.001,376.26
77724,0.001,376.26
78728,0.001,376.26
79732,0.001,376.26
80737,0.001,376.26
81747,0.001,376.26
82752,0.001,376.26
83756,0.001,376.26
84763,0.001,376.26
85776,0.002,375.82
86782,0.001,375.82
87787,0.001,375.82
88802,0.001,375.82
89808,0.001,375.82
90813,0.001,375.82
91826,0.001,375.82
92839,0.001,375.82
93846,0.001,375.82
94854,0.001,375.82
95862,0.001,375.82
96871,0.001,375.82
97879,0.001,375.82
98885,0.001,375.82
99894,0.001,375.82
100903,0.001,375.82
101908,0.001,375.82
102913,0.001,375.82
103919,0.001,375.82
104927,0.001,375.82
105933,0.001,375.82
106939,0.001,375.82
107947,0.001,375.82
108952,0.001,375.82
109955,0.001,375.82
110960,0.001,375.82
111965,0.001,375.82
112975,0.001,375.82
113979,0.001,375.82
114985,0.001,375.82
115991,0.001,375.82
117004,0.001,375.82
118010,0.001,375.82
119014,0.001,375.82
120020,0.001,375.82
121027,0.001,375.82
122033,0.001,375.82
123043,0.001,375.82
124047,0.001,375.82
125057,0.001,375.82
126061,0.001,375.82
127071,0.001,375.82
128075,0.001,375.82
129084,0.001,375.82
130089,0.001,375.82
131096,0.001,375.82
132101,0.001,375.82
133104,0.001,375.82
134109,0.001,375.82
135117,0.001,375.82
136123,0.001,375.82
137132,0.001,375.82
138141,0.001,375.82
139148,0.001,375.82
140158,0.001,375.82
141165,0.001,375.82
142170,0.001,375.82
143174,0.001,375.82
144183,0.001,375.82
145188,0.001,375.82
146200,0.001,375.82
147210,0.001,375.82
148213,0.001,375.82
149220,0.001,375.82
150226,0.001,375.82
151234,0.001,375.82
152238,0.001,375.82
153248,0.001,375.82
154254,0.001,375.82
155261,0.001,375.82
156267,0.001,375.82
157273,0.001,375.82
158285,0.001,375.82
159295,0.001,375.82
160305,0.001,375.82
161321,0.001,375.82
162340,0.001,375.82
163351,0.003,375.82
164361,0.001,375.82
165371,0.001,375.82
166381,0.002,375.82
167390,0.001,375.82
168398,0.001,375.82
169405,0.001,375.82
170414,0.001,375.82
171419,0.001,375.82
172428,0.001,375.82
173436,0.001,375.82
174441,0.001,375.82
175450,0.001,375.82
176458,0.001,375.82
177467,0.000,375.82
178474,0.001,375.82
179483,0.001,375.82
180493,0.001,375.82
181508,0.001,375.82
182516,0.001,375.82
