elapsed_ms,reqs_per_sec
1029,8
2029,107
3029,145
4029,162
5029,172
6158,29
7158,306
8158,336
9158,365
10158,353
11158,343
12158,354
13158,352
14158,385
15158,380
16158,353
17158,375
18158,374
19158,337
20158,320
21158,343
23486,99
24486,421
25486,376
26486,362
27486,294
28486,427
29486,387
30486,353
31486,373
32486,398
33486,325
34486,418
35486,367
36486,327
37486,400
38486,373
39486,345
40486,404
41486,394
42486,337
43486,412
44486,327
45486,386
46486,362
47486,422
48486,369
49486,391
50486,366
51486,377
52486,364
53486,328
