elapsed_ms,cores,rss_mib
1050,0.000,6.27
2058,0.945,58.73
3066,1.222,59.18
4073,1.261,59.08
5081,1.244,59.42
6086,1.238,59.13
7093,0.173,59.11
8106,2.045,211.14
9116,2.932,260.30
10126,2.935,269.61
11134,2.945,273.84
12145,2.917,273.99
13156,2.944,273.70
14165,2.963,274.06
15169,2.972,273.79
16175,2.967,274.27
17179,2.955,273.93
18186,2.952,273.85
19193,2.922,274.64
20199,2.974,274.15
21206,2.960,221.67
22215,2.947,231.68
23221,1.338,249.64
24230,0.001,249.64
25238,1.704,258.02
26244,2.947,272.32
27252,2.995,275.32
28262,2.910,275.39
29273,2.877,275.71
30278,2.949,275.63
31286,2.942,276.02
32295,2.931,276.88
33306,2.925,275.82
34316,2.887,276.02
35323,2.987,276.61
36332,2.935,275.97
37340,2.951,276.73
38347,2.948,275.96
39352,2.903,276.25
40361,2.945,276.02
41373,2.947,276.31
42383,2.908,276.26
43389,2.941,276.78
44397,2.899,276.44
45405,2.969,276.28
46414,2.930,276.71
47420,2.991,276.29
48427,2.949,276.30
49437,2.951,276.39
50446,2.936,276.57
51453,2.906,276.58
52461,2.959,276.55
53465,2.942,276.71
54474,2.937,276.97
55482,2.147,275.98
56489,0.001,275.98
57496,0.001,275.98
58500,0.001,275.98
59508,0.001,275.98
60514,0.001,275.95
61519,0.001,275.95
62527,0.001,275.95
63535,0.001,275.95
64542,0.001,275.95
65546,0.001,275.95
66554,0.001,275.95
67560,0.001,275.95
68564,0.001,275.95
69571,0.001,275.95
70578,0.001,275.95
71581,0.001,275.95
72589,0.001,275.95
73594,0.001,275.95
74602,0.001,275.95
75615,0.001,275.95
76621,0.001,275.95
77628,0.001,275.95
78635,0.001,275.95
79640,0.001,275.95
80647,0.001,275.95
81650,0.001,275.95
82657,0.001,275.95
83665,0.001,275.95
84689,0.001,275.95
85698,0.001,275.88
86704,0.001,275.88
87711,0.001,275.88
88719,0.001,275.88
89729,0.001,275.88
90735,0.001,275.88
91742,0.001,275.88
92748,0.001,275.88
93756,0.000,275.88
94765,0.001,275.88
95769,0.001,275.88
96776,0.001,275.88
97780,0.001,275.88
98788,0.001,275.88
99796,0.001,275.88
100803,0.001,275.88
101807,0.001,275.88
102814,0.001,275.88
103820,0.001,275.88
104825,0.001,275.88
105830,0.001,275.88
106836,0.001,275.88
107841,0.001,275.88
108847,0.001,275.88
109854,0.001,275.88
110860,0.001,275.88
111864,0.001,275.88
112871,0.001,275.88
113875,0.001,275.88
114882,0.001,275.88
115890,0.001,275.88
116895,0.001,275.88
117901,0.001,275.88
118906,0.001,275.88
119909,0.001,275.88
120913,0.001,275.88
121921,0.001,275.88
122928,0.001,275.88
123932,0.001,275.88
124939,0.001,275.88
125943,0.001,275.88
126951,0.001,275.88
127960,0.001,275.88
128964,0.001,275.88
129968,0.001,275.88
130978,0.001,275.88
131985,0.001,275.88
132990,0.001,275.88
133995,0.001,275.88
135002,0.001,275.88
136008,0.001,275.88
137012,0.001,275.88
138017,0.001,275.88
139025,0.001,275.88
140031,0.001,275.88
141039,0.001,275.88
142044,0.001,275.88
143053,0.001,275.88
144065,0.001,275.88
145073,0.001,275.88
146085,0.001,275.88
147094,0.001,275.88
148101,0.001,275.88
149110,0.000,275.88
150117,0.000,275.88
151123,0.000,275.88
152132,0.000,275.88
153141,0.000,275.88
154147,0.000,275.88
155153,0.001,275.88
156163,0.000,275.88
157171,0.000,275.88
158178,0.000,275.88
159187,0.000,275.88
