elapsed_ms,cores,rss_mib
1050,0.000,2.04
2055,0.566,5.07
3061,0.708,6.90
4069,0.724,6.90
5077,0.719,6.68
6085,0.728,6.79
7094,0.067,6.78
8100,1.152,10.64
9105,2.593,11.30
10113,2.655,11.66
11130,2.648,10.91
12143,1.773,10.50
13149,1.952,10.50
14158,2.564,11.81
15165,2.677,10.62
16170,2.681,11.04
17181,2.683,10.72
18185,2.655,10.98
19194,2.583,11.91
20200,2.657,10.68
21205,2.602,10.74
22211,2.714,10.56
23220,1.021,10.14
24226,0.000,10.14
25230,0.000,10.14
26234,0.000,10.14
27244,0.000,10.14
28249,0.331,26.05
29255,2.613,14.14
30259,2.693,14.62
31267,2.692,14.43
32276,2.696,14.47
33285,2.654,14.43
34294,2.595,14.46
35303,2.469,14.03
36314,0.557,15.94
37322,2.667,14.74
38330,2.670,14.70
39336,2.657,14.81
40341,2.709,14.53
41354,2.702,15.91
42360,2.664,14.31
43366,1.952,14.32
44371,2.319,14.88
45377,2.666,15.12
46385,2.745,14.84
47396,2.714,14.47
48406,2.726,15.63
49412,2.666,14.67
50421,2.742,14.91
51430,2.678,14.55
52439,2.752,15.70
53445,2.617,14.64
54454,2.687,14.03
55459,2.690,14.38
56466,1.566,14.03
57471,2.532,14.50
58477,1.529,12.50
59482,0.000,12.50
60487,0.000,12.48
61496,0.000,12.48
62500,0.000,12.48
63508,0.000,12.47
64515,0.000,12.47
65520,0.000,12.47
66529,0.000,12.47
67535,0.000,12.47
68545,0.000,12.47
69549,0.000,12.47
70554,0.000,12.47
71558,0.000,12.47
72566,0.000,12.47
73573,0.000,12.47
74580,0.000,12.47
75587,0.000,12.47
76596,0.000,12.47
77602,0.000,12.47
78610,0.000,12.47
79613,0.000,12.47
80621,0.000,12.47
81626,0.000,12.47
82637,0.000,12.47
83643,0.000,12.47
84648,0.000,12.47
85655,0.000,12.47
86661,0.000,12.47
87667,0.000,12.47
88675,0.000,12.47
89683,0.000,12.47
90687,0.000,12.47
91692,0.000,12.47
92696,0.000,12.47
93704,0.000,12.47
94714,0.000,12.47
95719,0.000,12.47
96727,0.000,12.47
97734,0.000,12.47
98741,0.000,12.47
99747,0.000,12.47
100751,0.000,12.47
101756,0.000,12.47
102761,0.000,12.47
103773,0.000,12.47
104779,0.000,12.47
105790,0.000,12.47
106799,0.000,12.47
107803,0.000,12.47
108811,0.000,12.47
109815,0.000,12.47
110823,0.000,12.47
111833,0.000,12.47
112841,0.000,12.47
113849,0.000,12.47
114860,0.000,12.47
115867,0.000,12.47
116875,0.000,12.47
117880,0.000,12.47
118885,0.000,12.47
119894,0.000,12.47
120902,0.000,12.47
121907,0.000,12.47
122915,0.000,12.47
123923,0.000,12.47
124932,0.000,12.47
125938,0.000,12.47
126941,0.000,12.47
127949,0.000,12.47
128953,0.000,12.47
129959,0.000,12.47
130965,0.000,12.47
131969,0.000,12.47
132979,0.000,12.47
133983,0.000,12.47
134989,0.000,12.47
135995,0.000,12.47
136999,0.000,12.47
138007,0.000,12.47
139015,0.000,12.47
140021,0.000,12.47
141025,0.000,12.47
142031,0.000,12.47
143038,0.000,12.47
144043,0.000,12.47
145050,0.000,12.47
146055,0.000,12.47
147063,0.000,12.47
148072,0.000,12.47
149079,0.000,12.47
150084,0.000,12.47
151090,0.000,12.47
152096,0.000,12.47
153102,0.000,12.47
154109,0.000,12.47
155122,0.000,12.47
156130,0.000,12.47
157137,0.000,12.47
158148,0.000,12.47
159212,0.000,12.47
160234,0.000,12.47
161244,0.000,12.47
162254,0.000,12.47
163265,0.000,12.47
164275,0.000,12.47
165283,0.000,12.47
166294,0.000,12.47
167303,0.000,12.47
168312,0.000,12.47
169321,0.000,12.47
170330,0.000,12.47
171338,0.000,12.47
172348,0.000,12.47
173355,0.000,12.47
174359,0.000,12.47
175365,0.000,12.47
176370,0.000,12.47
177379,0.000,12.47
178387,0.000,12.47
179393,0.000,12.47
180399,0.000,12.47
181408,0.000,12.47
182414,0.000,12.47
183420,0.000,12.47
184430,0.000,12.47
185438,0.000,12.47
186446,0.000,12.47
187452,0.000,12.47
188460,0.000,12.47
189468,0.000,12.47
190472,0.000,12.47
191479,0.000,12.47
192488,0.000,12.47
193493,0.000,12.47
194503,0.000,12.47
195507,0.000,12.47
196516,0.000,12.47
197524,0.000,12.47
198531,0.000,12.47
199536,0.000,12.47
200542,0.000,12.47
201555,0.000,12.47
202567,0.000,12.47
203571,0.000,12.47
204574,0.000,12.47
205588,0.000,12.47
206592,0.000,12.47
207601,0.000,12.47
208607,0.000,12.47
209613,0.000,12.47
210633,0.000,12.47
211642,0.000,12.47
212647,0.000,12.47
213657,0.000,12.47
214668,0.000,12.47
215674,0.000,12.47
216685,0.000,12.47
217690,0.000,12.47
218695,0.000,12.47
219701,0.000,12.47
220709,0.000,12.47
221714,0.000,12.47
222720,0.000,12.47
223726,0.000,12.47
224732,0.000,12.47
225737,0.000,12.47
226741,0.000,12.47
227747,0.000,12.47
228751,0.000,12.47
229758,0.000,12.47
230762,0.000,12.47
231769,0.000,12.47
232777,0.000,12.47
233782,0.000,12.47
234786,0.000,12.47
235795,0.000,12.47
236798,0.000,12.47
237805,0.000,12.47
238814,0.000,12.47
239819,0.000,12.47
240828,0.000,12.47
241835,0.000,12.47
242840,0.000,12.47
243845,0.000,12.47
244848,0.000,12.47
245856,0.000,12.47
246866,0.000,12.47
247875,0.000,12.47
248880,0.000,12.47
249884,0.000,12.47
250889,0.000,12.47
251894,0.000,12.47
252903,0.000,12.47
253911,0.000,12.47
254918,0.000,12.47
255923,0.000,12.47
256927,0.000,12.47
257935,0.000,12.47
258942,0.000,12.47
259946,0.000,12.47
