elapsed_ms,reqs_per_sec
1032,257
2032,270
3032,283
4032,284
5032,282
6456,90
7456,847
8456,1070
9456,990
10456,831
11456,645
12456,883
13456,1060
14456,997
15456,1067
16456,1045
17456,1025
18456,1020
19456,967
20456,1075
21456,984
26923,69
27923,999
28923,1070
29923,1011
30923,1079
31923,981
32923,1038
33923,1014
34923,35
35923,1106
36923,991
37923,904
38923,1130
39923,1017
40923,1007
41923,760
42923,715
43923,1115
44923,956
45923,1174
46923,1011
47923,1058
48923,1039
49923,1029
50923,1066
51923,975
52923,973
53923,1058
54923,953
55923,663
56923,915
