elapsed_ms,cores,rss_mib
1054,0.001,161.74
2064,1.905,198.62
3069,2.175,216.32
4075,1.620,227.52
5079,1.080,220.34
6087,1.047,223.23
7096,0.128,223.28
8108,2.092,282.53
9119,2.928,380.46
10130,2.954,415.15
11138,2.886,416.48
12148,2.442,417.48
13160,2.856,415.38
14168,2.629,324.76
15178,2.928,418.88
16187,2.944,425.29
17197,2.944,442.90
18206,2.923,377.42
19212,2.968,427.20
20224,2.937,423.01
21234,2.722,368.95
22243,2.981,344.50
23253,1.129,367.49
24259,0.003,367.07
25269,1.823,436.51
26278,2.930,450.75
27289,2.883,452.26
28297,2.868,448.88
29301,2.931,403.66
30309,2.950,451.51
31318,2.854,452.62
32324,2.909,437.85
33331,2.811,452.70
34340,2.889,449.07
35350,2.847,451.48
36359,2.882,453.60
37369,2.807,457.60
38376,2.885,454.30
39385,2.869,454.94
40399,2.833,456.36
41409,2.860,456.25
42414,2.866,457.02
43423,2.926,456.78
44433,2.846,456.80
45442,2.808,401.13
46446,2.847,448.69
47459,2.855,450.77
48473,2.853,450.73
49482,2.861,450.13
50489,2.863,450.50
51496,2.799,450.57
52500,2.813,407.81
53509,2.792,450.18
54520,2.830,450.85
55523,1.769,448.62
56528,0.003,448.02
57535,0.001,448.01
58544,0.001,447.98
59548,0.001,447.98
60558,0.001,447.98
61566,0.001,447.98
62572,0.001,447.98
63578,0.001,447.98
64583,0.001,447.98
65592,0.001,447.98
66596,0.001,447.98
67600,0.001,447.98
68605,0.001,447.98
69610,0.001,447.98
70618,0.001,447.98
71623,0.001,447.98
72630,0.001,447.98
73638,0.001,447.98
74643,0.001,447.98
75649,0.001,447.98
76657,0.001,447.98
77663,0.001,447.98
78668,0.001,447.98
79673,0.001,447.98
80680,0.001,447.98
81683,0.001,447.98
82690,0.001,447.98
83696,0.001,447.98
84701,0.001,447.98
85707,0.001,447.98
86711,0.001,447.98
87719,0.001,447.98
88725,0.001,447.98
89733,0.001,447.98
90743,0.001,447.98
91748,0.001,447.98
92757,0.001,447.98
93765,0.001,447.98
94773,0.001,447.98
95780,0.001,447.98
96787,0.001,447.98
97796,0.001,447.98
98801,0.001,447.98
99806,0.001,447.98
100815,0.001,447.98
101823,0.001,447.98
102832,0.001,447.98
103836,0.001,447.98
104840,0.001,447.98
105844,0.001,447.98
106848,0.001,447.98
107855,0.001,447.98
108860,0.001,447.98
109863,0.001,447.98
110868,0.001,447.98
111875,0.001,447.98
112880,0.001,447.98
113884,0.001,447.98
114890,0.004,446.77
115896,0.024,423.48
116902,0.001,423.48
117909,0.001,423.48
118915,0.001,423.48
119921,0.001,423.44
120925,0.001,423.44
121931,0.001,423.44
122938,0.001,423.44
123942,0.001,423.44
124949,0.001,423.44
125957,0.001,423.44
126963,0.001,423.44
127966,0.001,423.44
128972,0.001,423.44
129977,0.001,423.44
130981,0.001,423.44
131987,0.001,423.44
132993,0.001,423.44
133996,0.001,423.44
135000,0.001,423.44
136006,0.002,423.44
137013,0.001,423.44
138018,0.001,423.44
139025,0.001,423.44
140030,0.001,423.44
141035,0.001,423.44
142045,0.001,423.44
143054,0.001,423.44
144062,0.001,423.44
145070,0.001,423.44
146077,0.001,423.44
147085,0.001,423.44
148094,0.001,423.44
149103,0.001,423.44
150111,0.001,423.44
151120,0.001,423.44
152125,0.001,423.44
153134,0.001,423.44
154140,0.001,423.44
155147,0.001,423.44
156156,0.001,423.44
157164,0.001,423.44
158172,0.001,423.44
159181,0.001,423.44
