elapsed_ms,cores,rss_mib
1069,0.000,1.50
2073,0.435,2.85
3087,0.560,3.18
4096,0.541,3.72
5108,0.540,2.91
6113,0.545,3.71
7126,0.071,2.82
8133,0.000,2.82
9138,0.806,3.54
10151,0.949,3.95
11166,0.934,3.59
12176,0.674,3.89
13189,0.763,3.37
14203,0.898,4.05
15216,0.956,4.08
16227,0.962,4.06
17239,0.954,3.62
18252,0.936,3.65
19269,0.956,4.86
20282,0.955,4.18
21287,0.929,3.70
22298,0.947,3.87
23303,0.957,3.91
24316,0.018,2.93
25323,0.000,2.93
26331,0.000,2.93
27338,0.000,2.93
28352,0.436,4.56
29365,0.955,4.77
30375,0.953,4.79
31381,0.945,4.70
32395,0.953,4.75
33407,0.945,4.48
34420,0.950,4.69
35425,0.961,4.46
36441,0.879,3.96
37452,0.908,5.24
38468,0.957,4.61
39477,0.958,4.56
40483,0.952,4.96
41493,0.936,4.91
42506,0.940,4.93
43517,0.950,4.54
44525,0.952,4.73
45538,0.938,4.90
46549,0.945,5.22
47562,0.948,4.84
48576,0.949,4.91
49590,0.956,5.21
50605,0.948,4.61
51620,0.948,4.88
52632,0.958,4.70
53647,0.951,4.52
54659,0.950,4.70
55671,0.952,4.66
56682,0.955,4.70
57695,0.955,5.10
58706,0.329,2.94
59719,0.000,2.94
60731,0.000,2.94
61742,0.000,2.94
62753,0.000,2.94
63766,0.000,2.91
64778,0.000,2.91
65782,0.000,2.91
66793,0.000,2.91
67803,0.000,2.91
68808,0.000,2.91
69813,0.000,2.91
70818,0.000,2.91
71829,0.000,2.91
72835,0.000,2.91
73843,0.000,2.91
74855,0.000,2.91
75864,0.000,2.91
76870,0.000,2.91
77881,0.000,2.91
78891,0.000,2.91
79902,0.000,2.91
80920,0.000,2.91
81937,0.000,2.91
82961,0.000,2.91
83987,0.000,2.91
85003,0.000,2.91
86009,0.000,2.91
87013,0.000,2.91
88023,0.000,2.91
89030,0.000,2.91
90038,0.000,2.91
91043,0.000,2.91
92049,0.000,2.91
93055,0.000,2.91
94064,0.000,2.91
95082,0.000,2.91
96089,0.000,2.91
97102,0.000,2.91
98110,0.000,2.91
99122,0.000,2.91
100126,0.000,2.91
101133,0.000,2.91
102143,0.000,2.91
103153,0.000,2.91
104164,0.000,2.91
105177,0.000,2.91
106189,0.000,2.91
107202,0.000,2.91
108210,0.000,2.91
109216,0.000,2.91
110229,0.000,2.91
111242,0.000,2.91
112248,0.000,2.91
113261,0.000,2.91
114269,0.000,2.91
115279,0.000,2.91
116295,0.000,2.91
117301,0.000,2.91
118309,0.000,2.91
119317,0.000,2.91
120324,0.000,2.91
121338,0.000,2.91
122352,0.000,2.91
123361,0.000,2.91
124365,0.000,2.91
125376,0.000,2.91
126387,0.000,2.91
127395,0.000,2.91
128403,0.000,2.91
129414,0.000,2.91
130425,0.000,2.91
131437,0.000,2.91
132449,0.000,2.91
133461,0.000,2.91
134466,0.000,2.91
135480,0.000,2.91
136496,0.000,2.91
137507,0.000,2.91
138514,0.000,2.91
139519,0.000,2.91
140529,0.000,2.91
141544,0.000,2.91
142557,0.000,2.91
143562,0.000,2.91
144570,0.000,2.91
145584,0.000,2.91
146598,0.000,2.91
147611,0.000,2.91
148625,0.000,2.91
149637,0.000,2.91
150671,0.000,2.91
151694,0.000,2.91
152705,0.000,2.91
153721,0.000,2.91
154745,0.000,2.91
155771,0.000,2.91
156803,0.000,2.91
157824,0.000,2.91
158841,0.000,2.91
159919,0.000,2.91
160945,0.000,2.91
161961,0.000,2.91
163009,0.000,2.91
164025,0.000,2.91
165048,0.000,2.91
166070,0.000,2.91
167086,0.000,2.91
168107,0.000,2.91
169134,0.000,2.91
170155,0.000,2.91
171163,0.000,2.91
172183,0.000,2.91
173206,0.000,2.91
174229,0.000,2.91
175253,0.000,2.91
176278,0.000,2.91
177301,0.000,2.91
178323,0.000,2.91
179346,0.000,2.91
180361,0.000,2.91
181370,0.000,2.91
182382,0.000,2.91
183396,0.000,2.91
184403,0.000,2.91
185415,0.000,2.91
186431,0.000,2.91
187445,0.000,2.91
188456,0.000,2.91
189466,0.000,2.91
190471,0.000,2.91
191482,0.000,2.91
192494,0.000,2.91
193505,0.000,2.91
194510,0.000,2.91
195520,0.000,2.91
196527,0.000,2.91
197541,0.000,2.91
198555,0.000,2.91
199567,0.000,2.91
200573,0.000,2.91
201588,0.000,2.91
202600,0.000,2.91
203610,0.000,2.91
204615,0.000,2.91
205629,0.000,2.91
206639,0.000,2.91
207650,0.000,2.91
208663,0.000,2.91
209676,0.000,2.91
210687,0.000,2.91
211692,0.000,2.91
212697,0.000,2.91
213710,0.000,2.91
214724,0.000,2.91
215728,0.000,2.91
216733,0.000,2.91
217747,0.000,2.91
218757,0.000,2.91
219766,0.000,2.91
220779,0.000,2.91
221792,0.000,2.91
222804,0.000,2.91
223820,0.000,2.91
224834,0.000,2.91
225839,0.000,2.91
226844,0.000,2.91
227857,0.000,2.91
228871,0.000,2.91
229882,0.000,2.91
230900,0.000,2.91
231905,0.000,2.91
232920,0.000,2.91
233929,0.000,2.91
234940,0.000,2.91
235946,0.000,2.91
236954,0.000,2.91
237962,0.000,2.91
238973,0.000,2.91
239984,0.000,2.91
240997,0.000,2.91
242002,0.000,2.91
243015,0.000,2.91
244028,0.000,2.91
245038,0.000,2.91
246042,0.000,2.91
247054,0.000,2.91
248064,0.000,2.91
249078,0.000,2.91
250090,0.000,2.91
251105,0.000,2.91
252109,0.000,2.91
253119,0.000,2.91
254129,0.000,2.91
255142,0.000,2.91
256154,0.000,2.91
257166,0.000,2.91
258171,0.000,2.91
259183,0.000,2.91
260197,0.000,2.91
261201,0.000,2.91
262212,0.000,2.91
263224,0.000,2.91
264236,0.000,2.91
265250,0.000,2.91
266264,0.000,2.91
267275,0.000,2.91
268289,0.000,2.91
269301,0.000,2.91
270314,0.000,2.91
271326,0.000,2.91
272335,0.000,2.91
273345,0.000,2.91
274356,0.000,2.91
275367,0.000,2.91
276378,0.000,2.91
277383,0.000,2.91
278389,0.000,2.91
279399,0.000,2.91
280404,0.000,2.91
281418,0.000,2.91
282431,0.000,2.91
283435,0.000,2.91
284449,0.000,2.91
285463,0.000,2.91
286474,0.000,2.91
287481,0.000,2.91
288497,0.000,2.91
289509,0.000,2.91
290518,0.000,2.91
291530,0.000,2.91
292538,0.000,2.91
293543,0.000,2.91
294555,0.000,2.91
295569,0.000,2.91
296586,0.000,2.91
297596,0.000,2.91
298605,0.000,2.91
299616,0.000,2.91
300629,0.000,2.91
301640,0.000,2.91
302651,0.000,2.91
303656,0.000,2.91
304661,0.000,2.91
305669,0.000,2.91
306674,0.000,2.91
307686,0.000,2.91
308695,0.000,2.91
309707,0.000,2.91
310721,0.000,2.91
311733,0.000,2.91
312748,0.000,2.91
313754,0.000,2.91
314765,0.000,2.91
315770,0.000,2.91
316780,0.000,2.91
317793,0.000,2.91
318801,0.000,2.91
319815,0.000,2.91
320832,0.000,2.91
321854,0.000,2.91
322884,0.000,2.91
323941,0.000,2.91
324975,0.000,2.91
326007,0.000,2.91
327040,0.000,2.91
328067,0.000,2.91
329094,0.000,2.91
330127,0.000,2.91
331152,0.000,2.91
332176,0.000,2.91
333272,0.000,2.91
334301,0.000,2.91
335332,0.000,2.91
336369,0.000,2.91
337391,0.000,2.91
338419,0.000,2.91
339466,0.000,2.91
340508,0.000,2.91
341543,0.000,2.91
342666,0.000,2.91
343711,0.000,2.91
346524,0.000,2.91
347557,0.000,2.91
348859,0.000,2.91
349891,0.000,2.91
350917,0.000,2.91
351941,0.000,2.91
352966,0.000,2.91
353998,0.000,2.91
355022,0.000,2.91
356047,0.000,2.91
357073,0.000,2.91
358090,0.000,2.91
359116,0.000,2.91
360139,0.000,2.91
361171,0.000,2.91
362194,0.000,2.91
363211,0.000,2.91
364224,0.000,2.91
365244,0.000,2.91
366269,0.000,2.91
367294,0.000,2.91
368323,0.000,2.91
369348,0.000,2.91
370375,0.000,2.91
371399,0.000,2.91
372407,0.000,2.91
373416,0.000,2.91
374441,0.000,2.91
375469,0.000,2.91
376495,0.000,2.91
377514,0.000,2.91
378538,0.000,2.91
379552,0.000,2.91
380576,0.000,2.91
381599,0.000,2.91
382623,0.000,2.91
383643,0.000,2.91
384654,0.000,2.91
385669,0.000,2.91
386698,0.000,2.91
387723,0.000,2.91
388749,0.000,2.91
389772,0.000,2.91
390795,0.000,2.91
391818,0.000,2.91
392839,0.000,2.91
393864,0.000,2.91
394879,0.000,2.91
