elapsed_ms,reqs_per_sec
1057,466
2057,507
3057,495
4057,470
5057,471
7050,21
8050,835
9050,971
10050,794
11050,653
12050,605
13050,964
14050,892
15050,980
16050,950
17050,931
18050,934
19050,956
20050,928
21050,969
22050,978
26698,32
27698,1068
28698,937
29698,933
30698,936
31698,936
32698,964
33698,869
34698,1023
35698,659
36698,1134
37698,943
38698,947
39698,917
40698,911
41698,931
42698,955
43698,953
44698,945
45698,962
46698,953
47698,970
48698,962
49698,960
50698,958
51698,959
52698,974
53698,962
54698,941
55698,998
56698,949
