elapsed_ms,cores,rss_mib
1079,0.000,2.49
2084,0.668,8.26
3095,0.883,7.43
4101,0.901,8.88
5114,0.902,7.97
6121,0.903,8.23
7136,0.128,7.77
8144,2.026,57.83
9155,3.014,83.38
10163,2.985,72.64
11171,3.005,62.13
12193,3.019,46.04
13200,2.951,55.98
14212,2.979,61.20
15221,2.998,52.44
16228,3.013,60.93
17234,2.988,66.59
18240,3.000,50.70
19258,2.982,54.04
20269,2.988,54.11
21278,2.998,83.24
22284,3.012,65.71
23293,1.189,48.37
24300,0.000,46.37
25304,0.001,46.59
26315,2.955,98.73
27319,2.993,98.76
28328,3.009,114.59
29337,2.993,68.88
30341,2.989,69.07
31351,2.982,104.21
32366,2.981,114.36
33374,3.018,67.55
34390,3.009,115.17
35396,2.978,118.75
36402,3.006,134.47
37409,2.996,81.31
38419,2.985,114.18
39425,3.002,111.03
40433,3.004,129.51
41441,2.998,134.42
42449,3.002,135.42
43454,2.987,140.44
44461,2.991,111.25
45479,2.995,119.05
46483,3.019,123.14
47492,2.985,137.06
48501,3.006,124.59
49509,2.980,139.83
50654,2.811,118.57
51667,3.001,167.26
52674,3.032,138.71
53681,2.996,125.66
54688,3.004,134.71
55713,2.780,56.71
56722,0.001,45.00
57735,0.001,31.63
58745,0.000,31.63
59750,0.000,31.62
60767,0.000,31.62
61775,0.000,31.62
62781,0.000,31.62
63791,0.000,31.62
64808,0.000,31.62
65814,0.000,31.62
66823,0.000,31.62
67830,0.000,31.62
68835,0.000,31.62
69847,0.000,31.62
70853,0.000,31.62
71860,0.000,31.62
72866,0.000,31.62
73875,0.000,31.62
74884,0.000,31.62
75892,0.000,31.62
76896,0.000,31.62
77903,0.000,31.62
78908,0.000,31.62
79916,0.000,31.62
80925,0.000,31.62
81932,0.000,31.62
82939,0.000,31.62
83948,0.000,31.62
84958,0.000,31.62
85965,0.000,31.62
86977,0.000,31.62
87985,0.000,31.62
88993,0.000,31.62
90007,0.000,31.62
91017,0.000,31.62
92024,0.000,31.62
93031,0.000,31.62
94038,0.000,31.62
95056,0.000,31.62
96076,0.000,31.62
97092,0.000,31.62
98112,0.000,31.62
99135,0.000,31.62
100159,0.000,31.62
101171,0.000,31.62
102186,0.000,31.62
103209,0.000,31.62
104236,0.000,31.62
105251,0.000,31.62
106258,0.000,31.62
107270,0.000,31.62
108286,0.000,31.62
109292,0.000,31.62
110299,0.000,31.62
111304,0.000,31.62
112311,0.000,31.62
113317,0.000,31.62
114329,0.000,31.62
115334,0.000,31.62
116343,0.000,31.62
117348,0.000,31.62
118355,0.000,31.62
119364,0.000,31.62
120372,0.000,31.62
121376,0.000,31.62
122380,0.000,31.62
123391,0.000,31.62
124399,0.000,31.62
125403,0.000,31.62
126471,0.000,31.62
127477,0.000,31.62
128483,0.000,31.62
129492,0.000,31.62
130496,0.000,31.62
131503,0.000,31.62
132510,0.000,31.62
133518,0.000,31.62
134524,0.000,31.62
135534,0.000,31.62
136540,0.000,31.62
137546,0.000,31.62
138554,0.000,31.62
139562,0.000,31.62
140570,0.000,31.62
141575,0.000,31.62
142592,0.000,31.62
143597,0.000,31.62
144605,0.000,31.62
145617,0.000,31.62
146623,0.000,31.62
147628,0.000,31.62
148632,0.000,31.62
149641,0.000,31.62
150647,0.000,31.62
151651,0.000,31.62
152661,0.000,31.62
153670,0.000,31.62
154681,0.000,31.62
155685,0.000,31.62
156694,0.000,31.62
157702,0.000,31.62
158709,0.000,31.62
159714,0.000,31.62
160724,0.000,31.62
161730,0.000,31.62
162735,0.000,31.62
163741,0.000,31.62
164747,0.000,31.62
165752,0.000,31.62
166761,0.000,31.62
167772,0.000,31.62
168788,0.000,31.62
169839,0.000,31.62
170877,0.000,31.62
171969,0.000,31.62
173002,0.000,31.62
174035,0.000,31.62
175061,0.000,31.62
176083,0.000,31.62
177114,0.000,31.62
178132,0.047,31.62
179151,0.000,31.62
180168,0.000,31.62
181183,0.000,31.62
182201,0.000,31.62
183213,0.000,31.62
184236,0.000,31.62
185249,0.000,31.62
186263,0.000,31.62
187276,0.000,31.62
188289,0.000,31.62
189294,0.000,31.62
190310,0.000,31.62
191331,0.000,31.62
192344,0.000,31.62
193370,0.000,31.62
