elapsed_ms,cores,rss_mib
1075,0.004,75.97
2090,1.912,141.07
3104,2.398,183.65
4115,1.606,195.75
5129,1.208,196.49
6138,1.046,190.03
7156,0.094,189.98
8170,2.255,326.32
9176,2.935,367.34
10188,2.966,382.65
11199,2.447,378.63
12210,1.882,378.87
13221,2.960,375.36
14235,3.003,384.91
15254,2.872,384.80
16270,2.982,379.29
17285,2.960,384.15
18291,2.896,381.64
19304,2.969,382.07
20324,2.914,364.67
21332,2.940,380.75
22349,2.945,382.71
23359,0.564,382.14
24369,0.001,382.13
25384,1.732,383.73
26391,2.936,383.55
27397,2.946,388.21
28408,2.868,384.96
29428,2.884,385.83
30436,2.767,385.32
31452,2.876,382.38
32469,2.858,382.29
33485,2.867,382.59
34494,2.912,381.66
35512,2.907,382.61
36526,2.951,381.77
37540,2.846,280.76
38553,2.879,379.09
39566,2.873,367.14
40574,2.839,384.96
41589,2.913,382.23
42605,2.900,382.02
43612,2.922,382.07
44622,2.923,382.16
45635,2.896,382.59
46647,2.950,382.15
47654,2.956,382.53
48664,2.913,377.19
49676,2.930,382.32
50684,2.869,382.34
51698,2.897,382.45
52704,2.951,382.43
53713,2.942,382.60
54723,2.968,382.70
55733,0.682,381.74
56746,0.001,381.73
57751,0.001,381.73
58764,0.001,381.71
59770,0.002,381.71
60783,0.001,381.70
61787,0.001,381.70
62802,0.001,381.70
63825,0.001,381.70
64837,0.001,381.70
65842,0.001,381.70
66847,0.001,381.70
67854,0.001,381.70
68860,0.001,381.70
69871,0.001,381.70
70880,0.001,381.70
71893,0.001,381.70
72900,0.001,381.70
73908,0.001,381.70
74916,0.001,381.70
75926,0.001,381.70
76932,0.001,381.70
77946,0.001,381.70
78955,0.001,381.70
79963,0.001,381.70
80971,0.001,381.70
81982,0.001,381.70
82992,0.001,381.70
84003,0.001,381.70
85012,0.002,381.26
86021,0.001,381.26
87033,0.001,381.26
88045,0.001,381.26
89053,0.001,381.26
90099,0.002,381.26
91136,0.002,381.26
92156,0.002,381.26
93183,0.004,381.26
94205,0.001,381.26
95233,0.002,381.26
96257,0.003,381.26
97286,0.002,381.26
98310,0.002,381.26
99332,0.004,381.26
100356,0.002,381.26
101361,0.008,381.26
102370,0.001,381.26
103377,0.001,381.26
104387,0.001,381.26
105398,0.001,381.26
106412,0.001,381.26
107423,0.001,381.26
108437,0.001,381.26
109453,0.001,381.26
110460,0.001,381.26
111469,0.001,381.26
112482,0.001,381.26
113486,0.001,381.26
114491,0.001,381.26
115505,0.001,381.26
116517,0.001,381.26
117527,0.001,381.26
118534,0.001,381.26
119544,0.001,381.26
120556,0.001,381.26
121566,0.001,381.26
122572,0.001,381.26
123578,0.001,381.26
124582,0.001,381.26
125587,0.001,381.26
126607,0.001,381.26
127618,0.001,381.26
128625,0.001,381.26
129637,0.001,381.26
130653,0.001,381.26
131665,0.001,381.26
132671,0.001,381.26
133680,0.001,381.26
134686,0.001,381.26
135698,0.001,381.26
136706,0.001,381.26
137721,0.001,381.26
138726,0.001,381.26
139734,0.002,381.26
140741,0.001,381.26
141748,0.001,381.26
142756,0.003,381.26
143762,0.001,381.26
144769,0.001,381.26
145778,0.001,381.26
146784,0.002,381.26
147791,0.001,381.26
148798,0.001,381.26
149805,0.001,381.26
150810,0.001,381.26
151816,0.001,381.26
152826,0.003,381.26
153856,0.016,381.26
154978,0.107,381.26
155986,0.001,381.26
156993,0.001,381.26
158024,0.001,381.26
159036,0.002,381.26
160054,0.002,381.26
161067,0.002,381.26
162118,0.011,381.26
163167,0.008,381.26
164180,0.002,381.26
165212,0.003,381.26
166231,0.010,381.26
167246,0.001,381.26
168273,0.002,381.26
169311,0.002,381.26
170328,0.002,381.26
171352,0.002,381.26
172377,0.001,381.26
173399,0.002,381.26
174416,0.001,381.26
175446,0.006,381.26
176460,0.003,381.26
177475,0.003,381.26
178495,0.002,381.26
179513,0.001,381.26
180537,0.004,381.26
181546,0.005,381.26
182556,0.001,381.26
183583,0.002,381.26
184604,0.001,381.26
185613,0.002,381.26
186640,0.002,381.26
