elapsed_ms,cores,rss_mib
1080,0.000,6.23
2089,0.966,59.51
3098,1.255,59.66
4110,1.260,59.62
5117,1.261,59.70
6126,1.264,59.78
7149,0.126,59.78
8161,2.065,214.35
9176,2.937,255.19
10185,2.885,269.41
11193,2.898,274.45
12201,2.952,274.71
13211,2.979,274.93
14217,2.952,274.94
15227,2.961,274.86
16240,2.935,274.86
17249,2.980,275.23
18261,2.944,275.27
19270,2.899,274.96
20275,2.931,275.19
21284,2.966,275.18
22292,2.921,239.20
23299,1.050,246.59
24308,0.001,246.58
25317,2.104,263.08
26322,2.916,276.23
27334,2.954,276.74
28337,2.975,276.71
29348,2.918,276.50
30358,2.919,276.70
31368,2.879,277.01
32377,2.973,276.96
33381,2.925,277.15
34391,2.978,277.72
35399,2.964,277.39
36405,2.946,277.40
37414,2.927,277.33
38421,2.891,277.82
39432,2.976,277.54
40441,2.930,277.93
41445,2.916,279.43
42454,2.940,279.12
43467,2.947,279.30
44474,2.917,279.34
45482,2.900,279.28
46494,2.956,279.34
47503,2.921,279.26
48552,2.871,279.52
49561,2.929,279.30
50566,2.934,279.94
51575,2.938,279.38
52619,2.959,280.18
53629,2.836,279.60
54638,2.882,279.63
55646,1.156,278.71
56655,0.001,278.70
57664,0.001,278.70
58694,0.001,278.69
59699,0.001,278.69
60705,0.001,278.68
61712,0.001,278.68
62734,0.002,278.68
63742,0.001,278.68
64751,0.001,278.68
65760,0.001,278.68
66765,0.001,278.68
67771,0.001,278.68
68782,0.001,278.68
69788,0.001,278.68
70792,0.001,278.68
71797,0.001,278.68
72805,0.001,278.68
73811,0.001,278.68
74816,0.001,278.68
75826,0.001,278.68
76835,0.001,278.68
77843,0.001,278.68
78848,0.001,278.68
79859,0.001,278.68
80866,0.001,278.68
81873,0.001,278.68
82885,0.001,278.68
83892,0.001,278.68
84899,0.001,278.68
85915,0.001,278.61
86935,0.001,278.61
87952,0.001,278.61
88965,0.002,278.61
89983,0.001,278.61
91013,0.001,278.61
92021,0.001,278.61
93039,0.003,278.61
94043,0.001,278.61
95050,0.001,278.61
96058,0.001,278.61
97067,0.001,278.61
98073,0.001,278.61
99077,0.001,278.61
100086,0.001,278.61
101094,0.001,278.61
102098,0.001,278.61
103103,0.001,278.61
104111,0.001,278.61
105115,0.001,278.61
106123,0.001,278.61
107131,0.001,278.61
108139,0.001,278.61
109145,0.001,278.61
110153,0.001,278.61
111162,0.001,278.61
112170,0.001,278.61
113174,0.001,278.61
114185,0.001,278.61
115192,0.001,278.61
116199,0.001,278.61
117207,0.001,278.61
118214,0.001,278.61
119218,0.001,278.61
120227,0.001,278.61
121236,0.001,278.61
122245,0.001,278.61
123251,0.001,278.61
124259,0.001,278.61
125266,0.001,278.61
126274,0.001,278.61
127279,0.001,278.61
128284,0.001,278.61
129289,0.001,278.61
130298,0.001,278.61
131303,0.001,278.61
132311,0.001,278.61
133318,0.001,278.61
134324,0.001,278.61
135334,0.001,278.61
136354,0.003,278.61
137385,0.002,278.61
138420,0.001,278.61
139453,0.003,278.61
140487,0.005,278.61
141516,0.002,278.61
142554,0.001,278.61
143574,0.001,278.61
144592,0.001,278.61
145718,0.001,278.61
146739,0.001,278.61
147763,0.002,278.61
148783,0.002,278.61
149807,0.009,278.61
150819,0.006,278.61
151835,0.002,278.61
152856,0.001,278.61
153879,0.001,278.61
154906,0.001,278.61
