elapsed_ms,reqs_per_sec
1043,115
2043,129
3043,129
4043,128
5043,127
6043,1
6234,79
7234,202
8234,364
9234,273
10234,239
11234,295
12234,288
13234,330
14234,302
15234,293
16234,293
17234,292
18234,262
19234,297
20234,274
21234,337
23387,3
24387,372
25387,333
26387,296
27387,277
28387,303
29387,208
30387,360
31387,250
32387,290
33387,294
34387,286
35387,301
36387,294
37387,258
38387,275
39387,316
40387,291
41387,226
42387,312
43387,327
44387,303
45387,237
46387,318
47387,286
48387,211
49387,325
50387,297
51387,269
52387,127
53387,342
