elapsed_ms,cores,rss_mib
1065,0.000,1.96
2069,0.549,5.21
3078,0.726,5.15
4083,0.720,5.41
5088,0.690,6.96
6094,0.714,7.14
7101,0.104,6.90
8109,0.814,10.18
9116,2.302,10.14
10125,1.350,10.01
11131,1.706,10.28
12136,2.238,10.15
13146,2.252,10.46
14152,2.368,10.17
15161,2.326,10.54
16170,2.145,10.16
17183,2.115,10.94
18193,2.352,10.31
19205,2.354,10.44
20213,2.150,10.16
21219,2.109,10.44
22224,2.217,10.41
23229,1.113,9.80
24238,0.000,9.80
25247,0.000,9.80
26256,0.000,9.80
27265,0.000,9.80
28276,2.234,13.51
29285,2.362,13.93
30292,2.301,14.01
31299,2.542,13.93
32317,2.437,14.02
33323,2.280,14.18
34335,2.317,14.14
35341,2.238,14.03
36348,2.369,14.09
37360,2.551,14.12
38370,2.492,13.99
39376,2.475,13.77
40381,2.252,14.31
41387,2.033,13.77
42392,1.382,13.78
43402,1.399,14.04
44410,1.554,13.78
45417,1.782,14.22
46422,1.858,13.82
47429,2.393,13.84
48444,2.357,14.16
49451,2.601,14.23
50460,2.668,14.97
51468,2.327,15.10
52476,2.675,14.24
53491,2.678,14.66
54532,2.524,14.04
55545,2.415,13.90
56552,2.638,13.92
57556,1.956,13.78
58562,0.003,12.25
59571,0.000,12.23
60582,0.000,12.23
61589,0.000,12.22
62600,0.000,12.21
63615,0.000,12.21
64621,0.000,12.21
65635,0.000,12.21
66646,0.000,12.21
67661,0.000,12.21
68675,0.000,12.21
69690,0.000,12.21
70695,0.000,12.21
71699,0.000,12.21
72708,0.000,12.21
73718,0.000,12.21
74724,0.000,12.21
75732,0.000,12.21
76738,0.000,12.21
77755,0.000,12.21
78767,0.000,12.21
79773,0.000,12.21
80781,0.000,12.21
81793,0.000,12.21
82798,0.000,12.21
83802,0.000,12.21
84808,0.000,12.21
85817,0.000,12.21
86823,0.000,12.21
87828,0.000,12.21
88834,0.000,12.21
89843,0.000,12.21
90850,0.000,12.21
91860,0.000,12.21
92868,0.000,12.21
93874,0.000,12.21
94882,0.000,12.21
95890,0.000,12.21
96898,0.000,12.21
97905,0.000,12.21
98912,0.000,12.21
99917,0.000,12.21
100923,0.000,12.21
101928,0.000,12.21
102936,0.000,12.21
103943,0.000,12.21
104959,0.000,12.21
105966,0.000,12.21
106972,0.000,12.21
107978,0.000,12.21
108984,0.000,12.21
109989,0.000,12.21
110995,0.000,12.21
112005,0.000,12.21
113009,0.000,12.21
114017,0.000,12.21
