elapsed_ms,reqs_per_sec
1054,266
2054,280
3054,281
4054,239
5054,272
6523,50
7523,740
8523,738
9523,604
10523,664
11523,840
12523,926
13523,879
14523,844
15523,816
16523,863
17523,875
18523,837
19523,691
20523,853
21523,886
26222,97
27222,884
28222,890
29222,864
30222,1005
31222,869
32222,889
33222,836
34222,807
35222,857
36222,996
37222,967
38222,937
39222,865
40222,762
41222,520
42222,526
43222,596
44222,683
45222,690
46222,926
47222,820
48222,999
49222,986
50222,867
51222,1096
52222,991
53222,808
54222,893
55222,976
56222,892
