elapsed_ms,cores,rss_mib
1070,0.004,165.64
2077,1.877,192.57
3085,2.057,212.78
4091,1.272,214.56
5100,1.051,208.01
6108,0.992,213.75
7132,0.159,213.53
8139,1.975,377.77
9145,2.911,389.17
10149,2.929,413.83
11156,2.894,354.50
12163,2.922,339.43
13171,2.898,394.60
14183,2.856,403.62
15189,2.241,403.83
16195,1.850,421.12
17203,2.906,422.21
18218,2.935,420.67
19226,2.931,429.60
20232,2.900,357.55
21241,2.858,440.93
22247,2.902,441.27
23258,1.321,425.71
24272,0.002,425.36
25279,1.276,418.71
26286,2.909,455.20
27314,2.869,457.46
28325,2.801,458.03
29331,2.900,459.37
30339,2.768,445.51
31352,2.878,445.54
32365,2.913,456.59
33379,2.810,454.50
34392,2.790,456.35
35405,2.913,453.99
36411,2.815,454.17
37419,2.861,454.28
38433,2.961,456.85
39447,2.893,459.47
40463,2.909,447.10
41471,2.774,447.11
42479,2.833,447.43
43493,2.892,446.61
44506,2.731,447.00
45522,2.886,446.77
46535,2.826,446.74
47541,2.843,446.77
48549,2.795,449.89
49555,2.846,450.72
50562,2.848,446.98
51577,2.702,447.53
52611,2.775,444.94
53625,2.878,447.54
54637,2.891,447.20
55641,1.440,446.46
56651,0.004,445.89
57662,0.001,445.88
58672,0.001,445.82
59686,0.002,445.82
60700,0.001,445.82
61712,0.001,445.82
62724,0.002,445.83
63738,0.001,445.83
64769,0.002,445.83
65774,0.001,445.83
66789,0.002,445.83
67798,0.001,445.83
68808,0.001,445.83
69821,0.001,445.83
70834,0.001,445.83
71844,0.001,445.83
72855,0.001,445.83
73865,0.001,445.83
74877,0.001,445.83
75893,0.001,445.83
76897,0.001,445.83
77905,0.001,445.83
78910,0.001,445.83
79925,0.002,445.84
80934,0.001,445.84
81944,0.001,445.84
82952,0.001,445.84
83964,0.001,445.84
84976,0.001,445.84
85982,0.001,445.84
86988,0.001,445.84
87996,0.001,445.84
89019,0.002,445.84
90046,0.005,445.84
91065,0.002,445.84
92093,0.002,445.84
93119,0.002,445.84
94139,0.002,445.84
95162,0.005,445.84
96195,0.007,445.84
97202,0.002,445.84
98210,0.001,445.84
99218,0.001,445.84
100224,0.001,445.84
101229,0.001,445.84
102234,0.001,445.84
103239,0.001,445.84
104245,0.001,445.84
105251,0.001,445.84
106256,0.003,445.84
107262,0.001,445.84
108270,0.001,445.84
109278,0.001,445.84
110291,0.001,445.84
111296,0.001,445.84
112306,0.001,445.84
113317,0.001,445.84
114326,0.008,444.13
115338,0.037,421.67
116345,0.002,421.67
117351,0.001,421.67
118368,0.001,421.67
119375,0.001,421.67
120381,0.001,421.60
121390,0.001,421.60
122397,0.001,421.60
123402,0.001,421.60
124413,0.001,421.60
125425,0.001,421.60
126436,0.001,421.60
127445,0.001,421.60
128456,0.001,421.60
129468,0.001,421.60
130479,0.001,421.60
131485,0.001,421.60
132490,0.001,421.60
133497,0.001,421.60
134501,0.001,421.60
135511,0.001,421.60
136519,0.001,421.60
137533,0.001,421.60
138544,0.001,421.60
139552,0.001,421.60
140557,0.001,421.60
141562,0.001,421.60
142572,0.001,421.60
143581,0.001,421.60
144587,0.001,421.60
145596,0.001,421.60
146628,0.034,421.60
147659,0.012,421.60
148703,0.003,421.60
149720,0.003,421.60
150764,0.003,421.60
151797,0.003,421.60
152846,0.003,421.60
153872,0.002,421.60
154891,0.003,421.60
155918,0.001,421.60
156936,0.030,421.61
157964,0.002,421.61
158981,0.002,421.61
160004,0.002,421.61
161033,0.002,421.61
162057,0.002,421.61
163080,0.001,421.61
164106,0.003,421.61
165119,0.003,421.61
166148,0.004,421.61
167167,0.002,421.61
168184,0.002,421.61
169200,0.001,421.61
170230,0.002,421.61
