elapsed_ms,reqs_per_sec
1062,46
2062,136
3062,172
4062,184
5062,183
6062,1
6304,35
7304,270
8304,280
9304,305
10304,340
11304,318
12304,306
13304,311
14304,66
15304,372
16304,394
17304,311
18304,279
19304,372
20304,343
21304,315
23648,7
24648,447
25648,255
26648,295
27648,334
28648,264
29648,378
30648,296
31648,274
32648,358
33648,289
34648,358
35648,297
36648,333
37648,325
38648,314
39648,356
40648,285
41648,355
42648,286
43648,310
44648,302
45648,348
46648,261
47648,397
48648,286
49648,361
50648,323
51648,311
52648,354
53648,283
54648,2
