elapsed_ms,cores,rss_mib
1066,0.000,1.49
2070,0.410,2.95
3084,0.537,3.41
4098,0.510,3.48
5102,0.517,3.26
6115,0.522,2.94
7127,0.064,2.83
8141,0.138,3.35
9153,0.954,4.08
10165,0.964,3.49
11178,0.961,3.62
12190,0.946,3.99
13200,0.966,3.74
14211,0.897,3.99
15222,0.925,4.33
16231,0.946,4.15
17240,0.936,3.86
18252,0.923,3.94
19266,0.959,3.81
20283,0.962,3.77
21289,0.948,4.01
22298,0.942,4.08
23308,0.701,2.86
24321,0.000,2.86
25335,0.000,2.86
26349,0.000,2.86
27360,0.000,2.86
28371,0.000,2.86
29382,0.541,4.00
30394,0.958,3.92
31405,0.953,4.05
32417,0.934,4.46
33433,0.951,5.00
34449,0.958,4.59
35459,0.961,4.22
36473,0.954,4.38
37483,0.916,4.68
38495,0.920,4.65
39502,0.939,4.70
40514,0.962,4.44
41527,0.946,5.22
42539,0.962,4.97
43545,0.961,4.95
44554,0.947,4.77
45566,0.959,4.73
46576,0.953,5.07
47586,0.941,4.67
48600,0.916,4.59
49618,0.784,3.71
50630,0.825,4.85
51641,0.933,4.80
52648,0.953,4.69
53653,0.923,4.70
54663,0.925,4.80
55671,0.946,4.46
56680,0.953,4.84
57689,0.952,4.59
58698,0.947,4.44
59706,0.257,2.95
60714,0.000,2.95
61723,0.000,2.95
62734,0.000,2.95
63741,0.000,2.95
64747,0.000,2.92
65754,0.000,2.92
66765,0.000,2.92
67776,0.000,2.92
68783,0.000,2.92
69789,0.000,2.92
70794,0.000,2.92
71798,0.000,2.92
72803,0.000,2.92
73813,0.000,2.92
74817,0.000,2.92
75824,0.000,2.92
76838,0.000,2.92
77843,0.000,2.92
78849,0.000,2.92
79855,0.000,2.92
80864,0.000,2.92
81877,0.000,2.92
82892,0.000,2.92
83909,0.000,2.92
84917,0.000,2.92
85934,0.000,2.92
86940,0.000,2.92
87952,0.000,2.92
88965,0.000,2.92
89974,0.000,2.92
90986,0.000,2.92
91997,0.000,2.92
93013,0.000,2.92
94023,0.000,2.92
95029,0.000,2.92
96035,0.000,2.92
97043,0.000,2.92
98054,0.000,2.92
99065,0.000,2.92
100076,0.000,2.92
101092,0.000,2.92
102107,0.000,2.92
103122,0.000,2.92
104133,0.000,2.92
105138,0.000,2.92
106149,0.000,2.92
107163,0.000,2.92
108168,0.000,2.92
109178,0.000,2.92
110193,0.000,2.92
111203,0.000,2.92
112208,0.000,2.92
113217,0.000,2.92
114224,0.000,2.92
115230,0.000,2.92
116242,0.000,2.92
117253,0.000,2.92
118267,0.000,2.92
119274,0.000,2.92
120279,0.000,2.92
121286,0.000,2.92
122293,0.000,2.92
123300,0.000,2.92
124304,0.000,2.92
125308,0.000,2.92
126313,0.000,2.92
127319,0.000,2.92
128329,0.000,2.92
129333,0.000,2.92
130347,0.000,2.92
131358,0.000,2.92
132364,0.000,2.92
133377,0.000,2.92
134381,0.000,2.92
135385,0.000,2.92
136392,0.000,2.92
137403,0.000,2.92
138418,0.000,2.92
139431,0.000,2.92
140436,0.000,2.92
141445,0.000,2.92
142451,0.000,2.92
143457,0.000,2.92
144464,0.000,2.92
145477,0.000,2.92
146491,0.000,2.92
147496,0.000,2.92
148503,0.000,2.92
149512,0.000,2.92
150515,0.000,2.92
151521,0.000,2.92
152531,0.000,2.92
153544,0.000,2.92
154556,0.000,2.92
155569,0.000,2.92
156584,0.000,2.92
157603,0.000,2.92
158619,0.000,2.92
159629,0.000,2.92
160652,0.000,2.92
161659,0.000,2.92
162679,0.000,2.92
163687,0.000,2.92
164705,0.000,2.92
165722,0.000,2.92
166738,0.000,2.92
167755,0.000,2.92
168770,0.000,2.92
169782,0.000,2.92
170799,0.000,2.92
171829,0.000,2.92
172845,0.000,2.92
173865,0.000,2.92
174883,0.000,2.92
175902,0.000,2.92
176919,0.000,2.92
177932,0.000,2.92
178950,0.000,2.92
179967,0.000,2.92
180984,0.000,2.92
182000,0.000,2.92
183009,0.000,2.92
184028,0.000,2.92
185046,0.000,2.92
186056,0.000,2.92
187071,0.000,2.92
188075,0.000,2.92
189087,0.000,2.92
190096,0.000,2.92
191100,0.000,2.92
192105,0.000,2.92
193110,0.000,2.92
194120,0.000,2.92
195129,0.000,2.92
196135,0.000,2.92
197143,0.000,2.92
198154,0.000,2.92
199165,0.000,2.92
200170,0.000,2.92
201175,0.000,2.92
202184,0.000,2.92
203196,0.000,2.92
204204,0.000,2.92
205214,0.000,2.92
206221,0.000,2.92
207227,0.000,2.92
208232,0.000,2.92
209238,0.000,2.92
210246,0.000,2.92
211253,0.000,2.92
212259,0.000,2.92
213267,0.000,2.92
214276,0.000,2.92
215281,0.000,2.92
216286,0.000,2.92
217290,0.000,2.92
218295,0.000,2.92
219302,0.000,2.92
220314,0.000,2.92
221320,0.000,2.92
222326,0.000,2.92
223335,0.000,2.92
224340,0.000,2.92
225345,0.000,2.92
226349,0.000,2.92
227355,0.000,2.92
228360,0.000,2.92
229368,0.000,2.92
230375,0.000,2.92
231383,0.000,2.92
232394,0.000,2.92
233407,0.000,2.92
234417,0.000,2.92
235425,0.000,2.92
236436,0.000,2.92
237449,0.000,2.92
238458,0.000,2.92
239468,0.000,2.92
240475,0.000,2.92
241482,0.000,2.92
242487,0.000,2.92
243501,0.000,2.92
244514,0.000,2.92
245519,0.000,2.92
246524,0.000,2.92
247536,0.000,2.92
248549,0.000,2.92
249562,0.000,2.92
250566,0.000,2.92
251570,0.000,2.92
252579,0.000,2.92
253584,0.000,2.92
254591,0.000,2.92
255598,0.000,2.92
256608,0.000,2.92
257614,0.000,2.92
258623,0.000,2.92
259633,0.000,2.92
260638,0.000,2.92
261645,0.000,2.92
262655,0.000,2.92
263664,0.000,2.92
264675,0.000,2.92
265683,0.000,2.92
266688,0.000,2.92
267696,0.000,2.92
268703,0.000,2.92
269712,0.000,2.92
270718,0.000,2.92
271727,0.000,2.92
272739,0.000,2.92
273743,0.000,2.92
274750,0.000,2.92
275758,0.000,2.92
276765,0.000,2.92
277772,0.000,2.92
278780,0.000,2.92
279787,0.000,2.92
280790,0.000,2.92
281796,0.000,2.92
282808,0.000,2.92
283820,0.000,2.92
284832,0.000,2.92
285840,0.000,2.92
286843,0.000,2.92
287850,0.000,2.92
288857,0.000,2.92
289861,0.000,2.92
290867,0.000,2.92
291876,0.000,2.92
292884,0.000,2.92
293891,0.000,2.92
294895,0.000,2.92
295903,0.000,2.92
296926,0.000,2.92
297933,0.000,2.92
298941,0.000,2.92
299950,0.000,2.92
300955,0.000,2.92
301968,0.000,2.92
302975,0.000,2.92
303983,0.000,2.92
304994,0.000,2.92
305998,0.000,2.92
307003,0.000,2.92
308011,0.000,2.92
309029,0.000,2.92
310035,0.000,2.92
311042,0.000,2.92
312051,0.000,2.92
313058,0.000,2.92
314069,0.000,2.92
315075,0.000,2.92
316081,0.000,2.92
317089,0.000,2.92
318097,0.000,2.92
319105,0.000,2.92
320113,0.000,2.92
321125,0.000,2.92
322130,0.000,2.92
323136,0.000,2.92
324150,0.000,2.92
