elapsed_ms,reqs_per_sec
1069,468
2069,500
3069,476
4069,480
5069,489
6069,1
6824,40
7824,903
8824,1015
9824,984
10824,901
11824,965
12824,970
13824,887
14824,913
15824,916
16824,901
17824,933
18824,987
19824,983
20824,892
21824,1018
27619,96
28619,994
29619,986
30619,967
31619,907
32619,965
33619,976
34619,984
35619,933
36619,919
37619,901
38619,945
39619,987
40619,943
41619,956
42619,1015
43619,996
44619,985
45619,1011
46619,962
47619,929
48619,323
49619,1045
50619,964
51619,995
52619,923
53619,946
54619,974
55619,983
56619,1025
57619,967
