elapsed_ms,cores,rss_mib
1069,0.000,2.66
2073,0.648,7.61
3084,0.920,8.39
4096,0.905,8.66
5101,0.834,9.30
6105,0.922,8.61
7112,0.170,8.66
8118,1.923,85.02
9126,2.970,68.54
10132,3.000,59.43
11148,2.986,65.66
12159,2.995,70.66
13174,2.990,79.06
14188,2.962,72.41
15197,3.009,74.53
16210,2.983,78.21
17224,3.002,69.34
18239,3.001,65.55
19248,2.996,54.57
20261,3.010,64.80
21275,2.996,69.74
22289,2.992,66.51
23298,0.979,33.79
24310,0.001,25.60
25322,0.983,59.28
26337,2.989,113.67
27350,3.007,194.01
28356,2.995,142.02
29369,2.971,112.35
30381,3.002,119.26
31386,2.998,112.64
32399,3.006,127.59
33411,2.979,150.66
34417,3.011,144.33
35428,2.994,107.05
36437,2.970,112.58
37452,2.996,122.73
38465,2.952,105.40
39479,3.009,100.44
40489,2.984,117.61
41504,2.995,145.18
42513,3.015,144.89
43527,2.987,117.46
44533,2.987,92.55
45544,2.987,106.12
46551,3.009,84.44
47565,2.970,100.52
48578,2.994,120.24
49585,2.998,116.13
50597,2.981,108.02
51610,3.012,124.31
52617,2.997,107.56
53632,3.012,136.98
54644,2.980,134.70
55655,1.939,44.64
56668,0.001,35.06
57673,0.000,31.56
58677,0.000,31.56
59689,0.000,31.56
60700,0.000,31.55
61710,0.000,31.55
62722,0.000,31.55
63737,0.000,31.55
64741,0.000,31.55
65748,0.000,31.55
66759,0.000,31.55
67763,0.000,31.55
68771,0.000,31.55
69781,0.000,31.55
70794,0.000,31.55
71806,0.000,31.55
72820,0.000,31.55
73829,0.000,31.55
74841,0.000,31.55
75854,0.000,31.55
76860,0.000,31.55
77866,0.000,31.55
78872,0.000,31.55
79876,0.000,31.55
80882,0.000,31.55
81893,0.000,31.55
82902,0.000,31.55
83907,0.000,31.55
84913,0.000,31.55
85919,0.000,31.55
86932,0.000,31.55
87939,0.000,31.55
88945,0.000,31.55
89951,0.000,31.55
90957,0.000,31.55
91964,0.000,31.55
92973,0.000,31.55
93983,0.000,31.55
95001,0.000,31.55
96018,0.000,31.55
97032,0.000,31.55
98051,0.000,31.55
99065,0.000,31.55
100078,0.000,31.55
101096,0.000,31.55
102114,0.000,31.55
103132,0.000,31.55
104138,0.000,31.55
105143,0.000,31.55
106149,0.000,31.55
107158,0.000,31.55
108165,0.000,31.55
109171,0.000,31.55
110182,0.000,31.55
111194,0.000,31.55
112201,0.000,31.55
113208,0.000,31.55
114213,0.000,31.55
115222,0.000,31.55
116230,0.000,31.55
117237,0.000,31.55
118243,0.000,31.55
119247,0.000,31.55
120259,0.000,31.55
121266,0.000,31.55
122274,0.000,31.55
123288,0.000,31.55
124292,0.000,31.55
125299,0.000,31.55
126304,0.000,31.55
127314,0.000,31.55
128319,0.000,31.55
129326,0.000,31.55
130331,0.000,31.55
131343,0.000,31.55
132357,0.000,31.55
133362,0.000,31.55
134368,0.000,31.55
135374,0.000,31.55
136380,0.000,31.55
137394,0.000,31.55
138410,0.000,31.55
139414,0.000,31.55
140425,0.000,31.55
141433,0.000,31.55
142447,0.000,31.55
143455,0.000,31.55
144460,0.000,31.55
145473,0.000,31.55
146479,0.000,31.55
147491,0.000,31.55
148500,0.000,31.55
149505,0.000,31.55
150515,0.000,31.55
151522,0.000,31.55
152528,0.000,31.55
153539,0.000,31.55
154545,0.000,31.55
155550,0.000,31.55
156558,0.000,31.55
157568,0.000,31.55
158577,0.000,31.55
159582,0.000,31.55
160586,0.000,31.55
161603,0.000,31.55
162620,0.000,31.55
163626,0.000,31.55
164643,0.000,31.55
165656,0.000,31.55
166673,0.000,31.55
167692,0.000,31.55
168709,0.000,31.55
169728,0.000,31.55
170746,0.000,31.55
171763,0.000,31.55
172776,0.000,31.55
173796,0.000,31.55
174812,0.000,31.55
175825,0.000,31.55
176839,0.000,31.55
177859,0.003,31.55
178878,0.000,31.55
179893,0.000,31.55
