elapsed_ms,cores,rss_mib
1068,0.000,13.44
2072,0.720,31.71
3082,0.914,32.18
4096,0.912,32.69
5109,0.920,32.56
6123,0.915,33.74
7147,0.141,33.72
8157,0.697,40.11
9165,1.011,43.57
10172,1.006,42.42
11176,1.008,42.27
12186,0.985,43.21
13201,1.000,43.75
14212,1.019,43.01
15222,1.013,43.05
16237,1.002,43.81
17248,0.993,44.01
18262,1.002,43.50
19270,1.003,43.04
20275,1.002,43.95
21281,0.997,43.18
22295,1.001,43.70
23307,0.822,43.89
24314,0.001,44.11
25322,1.005,44.89
26336,1.033,46.17
27351,0.989,45.89
28360,1.003,45.92
29365,0.980,45.97
30370,0.982,46.16
31375,1.014,46.33
32383,0.991,46.04
33393,1.001,45.98
34406,0.990,46.76
35413,1.004,46.39
36423,0.989,46.12
37444,0.990,46.29
38449,1.008,46.57
39461,0.986,46.47
40468,1.002,46.91
41472,0.986,46.54
42481,0.998,46.61
43491,0.988,46.83
44503,0.986,46.57
45513,0.997,46.92
46529,0.994,46.64
47542,1.002,47.52
48553,0.991,47.05
49565,0.986,47.05
50578,0.991,46.62
51592,0.991,46.75
52601,0.991,47.03
53613,1.005,46.77
54625,0.996,46.56
55636,1.019,45.71
56649,0.132,45.82
57658,0.000,45.81
58662,0.000,45.81
59674,0.000,45.80
60679,0.000,45.80
61695,0.000,45.80
62700,0.000,45.80
63713,0.011,23.21
64727,0.009,21.57
65732,0.000,21.57
66737,0.000,21.57
67747,0.000,21.57
68760,0.000,21.57
69768,0.000,21.57
70781,0.000,21.57
71791,0.000,21.57
72805,0.000,21.57
73823,0.000,21.57
74830,0.000,21.57
75839,0.000,21.57
76845,0.000,21.57
77857,0.000,21.57
78861,0.000,21.57
79867,0.000,21.57
80873,0.000,21.57
81879,0.000,21.57
82887,0.000,21.57
83893,0.000,21.57
84905,0.000,21.57
85911,0.000,21.57
86916,0.000,21.57
87928,0.000,21.57
88940,0.000,21.57
89949,0.000,21.57
90958,0.000,21.57
91975,0.000,21.57
92979,0.000,21.57
93990,0.000,21.57
95000,0.000,21.57
96015,0.000,21.57
97028,0.000,21.57
98043,0.000,21.57
99056,0.000,21.57
100067,0.000,21.57
101084,0.000,21.57
102102,0.000,21.57
103118,0.000,21.57
104134,0.000,21.57
