elapsed_ms,reqs_per_sec
1066,120
2066,134
3066,135
4066,132
5066,133
6066,1
6278,36
7278,200
8278,140
9278,142
10278,132
11278,141
12278,141
13278,141
14278,141
15278,141
16278,139
17278,141
18278,140
19278,140
20278,137
21278,139
23122,77
24122,165
25122,137
26122,140
27122,141
28122,135
29122,137
30122,140
31122,136
32122,137
33122,137
34122,140
35122,137
36122,136
37122,138
38122,137
39122,140
40122,136
41122,138
42122,138
43122,137
44122,136
45122,138
46122,136
47122,138
48122,132
49122,138
50122,136
51122,135
52122,139
53122,136
