elapsed_ms,cores,rss_mib
1061,0.000,93.11
2071,0.700,104.09
3079,0.908,104.54
4085,0.896,105.90
5105,0.981,93.27
6109,0.898,94.14
7121,0.151,94.12
8128,1.602,149.55
9135,2.646,156.86
10145,2.618,158.82
11155,2.672,160.58
12170,2.575,161.63
13179,2.610,162.73
14191,2.652,162.66
15199,2.559,162.23
16210,2.491,162.57
17225,2.471,163.56
18233,2.614,163.57
19240,2.677,161.93
20251,2.508,162.19
21267,2.601,164.63
22276,2.630,164.16
23288,1.333,162.72
24296,0.000,162.72
25306,0.123,167.63
26312,2.554,167.11
27322,2.628,168.12
28331,2.520,167.86
29337,2.658,167.84
30345,2.542,169.47
31383,2.542,168.28
32393,2.556,170.65
33402,2.609,169.72
34412,2.588,170.88
35424,2.636,169.87
36434,2.545,168.75
37443,2.648,168.57
38498,2.622,169.75
39509,2.656,168.83
40518,2.721,170.66
41528,2.546,171.81
42538,2.600,173.03
43544,2.658,170.89
44553,2.592,170.24
45565,2.534,170.97
46587,2.470,169.58
47595,2.672,168.71
48606,2.506,168.78
49614,2.671,168.55
50623,2.490,169.61
51634,2.562,169.28
52645,2.628,171.38
53655,2.613,171.77
54667,2.685,169.94
55672,2.599,169.94
56680,0.677,168.56
57687,0.001,168.55
58695,0.000,168.55
59705,0.000,168.55
60716,0.000,168.55
61723,0.000,168.54
62730,0.000,168.54
63735,0.000,168.54
64767,0.061,121.04
65774,0.000,121.04
66778,0.000,121.04
67784,0.013,99.11
68794,0.014,97.41
69800,0.000,97.41
70860,0.000,97.41
71867,0.000,97.41
72874,0.000,97.41
73885,0.000,97.41
74894,0.000,97.41
75898,0.000,97.41
76909,0.000,97.41
77915,0.000,97.41
78922,0.000,97.41
79934,0.000,97.41
80950,0.001,97.41
81958,0.000,97.41
82964,0.000,97.41
83970,0.000,97.41
84985,0.000,97.41
85994,0.000,97.41
87000,0.001,97.41
88008,0.000,97.41
89017,0.000,97.41
90029,0.000,97.41
91039,0.000,97.41
92051,0.000,97.41
93064,0.000,97.41
94078,0.000,97.41
95086,0.000,97.41
96095,0.000,97.41
97105,0.000,97.41
98117,0.000,97.41
99130,0.000,97.41
100143,0.000,97.41
101152,0.000,97.41
102158,0.000,97.41
103167,0.000,97.41
104171,0.000,97.41
105206,0.000,97.41
106215,0.000,97.41
107221,0.000,97.41
108229,0.000,97.41
109234,0.000,97.41
110239,0.000,97.41
111244,0.000,97.41
112250,0.000,97.41
113254,0.000,97.41
114259,0.000,97.41
115271,0.000,97.41
116282,0.000,97.41
117290,0.002,97.41
118295,0.000,97.41
119302,0.000,97.41
120310,0.000,97.41
121318,0.000,97.41
122328,0.000,97.41
123339,0.000,97.41
124350,0.000,97.41
125356,0.000,97.41
126365,0.000,97.41
127372,0.000,97.41
128376,0.000,97.41
129385,0.000,97.41
130393,0.000,97.41
131400,0.000,97.41
132406,0.000,97.41
133415,0.000,97.41
134421,0.000,97.41
135430,0.000,97.41
136438,0.000,97.41
137445,0.000,97.41
138453,0.000,97.41
139460,0.000,97.41
140469,0.000,97.41
141489,0.000,97.41
142496,0.000,97.41
143501,0.000,97.41
144507,0.000,97.41
145514,0.000,97.41
146522,0.000,97.41
147529,0.000,97.41
148535,0.000,97.41
149540,0.000,97.41
150549,0.000,97.41
151554,0.000,97.41
152559,0.000,97.41
153564,0.000,97.41
154573,0.000,97.41
155582,0.000,97.41
156591,0.000,97.41
157606,0.000,97.41
158622,0.000,97.41
159633,0.000,97.41
160646,0.000,97.41
161671,0.000,97.41
162681,0.000,97.41
163701,0.000,97.41
164711,0.000,97.41
165718,0.000,97.41
166736,0.000,97.41
167749,0.000,97.41
168824,0.000,97.41
169836,0.000,97.41
170848,0.000,97.41
171858,0.000,97.41
172871,0.000,97.41
173884,0.000,97.41
174893,0.000,97.41
175917,0.000,97.41
176922,0.002,97.41
177932,0.000,97.41
